# sim/spectral_table.csv -- the committed spectral basis for Q4 (northstar design §8, M1a0).
# Generated by tools/make_spectral_table.py; do not hand-edit.
# producer_commit: 5246a509ff21492c30ba97a51bc5832cc763dba6
# quadrature: trapezoid
# formatter: %.10e , newline \n
# grid: ASTM G173-03 native, 2002 rows, 280-4000 nm
# source: ASTMG173.csv  md5 b31870bd3500b58414100af7e4b0e04c  size 57708 B  pvlib-python commit 2d0ed71e1308293b3081979404f8e90f2f2dde1e
# source: iop2008.dat  md5 cf5f76d58a31aa5f994fa038c390a856  size 16514 B  Warren & Brandt 2008, IOP_2008_ASCIItable.dat
# k_per_m: 4*pi*m_im/lambda, m_im log-space interpolated over 250-4200 nm
# E_AM0: ASTM column 2 (extraterrestrial), W m^-2 nm^-1
# n_ph: E_AM0*lambda/(h c), h 6.62607015e-34 J s, c 299792458.0 m/s
lambda_nm,k_per_m,E_AM0,n_ph
3.1400000000e+02,8.0040577162e-04,7.1700000000e-01,1.1333709358e+18
3.1450000000e+02,7.9913326641e-04,6.7600000000e-01,1.0702632505e+18
3.1500000000e+02,7.9786480091e-04,6.8450000000e-01,1.0854436290e+18
3.1550000000e+02,7.9660035590e-04,6.3200000000e-01,1.0037827071e+18
3.1600000000e+02,7.9533991230e-04,5.8700000000e-01,9.3378835035e+17
3.1650000000e+02,7.9408345114e-04,6.4900000000e-01,1.0340503330e+18
3.1700000000e+02,7.9283095359e-04,7.3900000000e-01,1.1793072495e+18
3.1750000000e+02,7.9158240090e-04,8.0189000000e-01,1.2816864557e+18
3.1800000000e+02,7.9033777449e-04,7.2361000000e-01,1.1583903944e+18
3.1850000000e+02,7.8909705585e-04,6.8000000000e-01,1.0902889662e+18
3.1900000000e+02,7.8786022661e-04,7.0580000000e-01,1.1334323520e+18
3.1950000000e+02,7.8662726850e-04,7.3318000000e-01,1.1792468904e+18
3.2000000000e+02,7.8539816340e-04,7.7500000000e-01,1.2484609088e+18
3.2050000000e+02,7.8417289325e-04,8.2600000000e-01,1.3326967813e+18
3.2100000000e+02,7.8295144015e-04,7.6546000000e-01,1.2369461726e+18
3.2150000000e+02,7.8173378627e-04,7.1900000000e-01,1.1636788346e+18
3.2200000000e+02,7.8051991394e-04,7.3513000000e-01,1.1916350962e+18
3.2250000000e+02,7.7930980554e-04,7.1152000000e-01,1.1551545650e+18
3.2300000000e+02,7.7810344361e-04,6.4900000000e-01,1.0552867537e+18
3.2350000000e+02,7.7690081078e-04,6.8138000000e-01,1.1096523432e+18
3.2400000000e+02,7.7570188978e-04,7.4050000000e-01,1.2077953151e+18
3.2450000000e+02,7.7450666344e-04,7.8800000000e-01,1.2872538110e+18
3.2500000000e+02,7.7331511473e-04,8.2918000000e-01,1.3566113520e+18
3.2550000000e+02,7.7212722669e-04,9.1377000000e-01,1.4973080385e+18
3.2600000000e+02,7.7094298248e-04,9.9835000000e-01,1.6384141497e+18
3.2650000000e+02,7.6976236535e-04,1.0166000000e+00,1.6709234677e+18
3.2700000000e+02,7.6858535868e-04,1.0047000000e+00,1.6538930513e+18
3.2750000000e+02,7.6741194592e-04,9.8679000000e-01,1.6268942032e+18
3.2800000000e+02,7.6624211063e-04,9.5681000000e-01,1.5798753279e+18
3.2850000000e+02,7.6507583649e-04,9.3400000000e-01,1.5445626111e+18
3.2900000000e+02,7.6391310726e-04,1.0046000000e+00,1.6638429827e+18
3.2950000000e+02,7.6275390679e-04,1.0958000000e+00,1.8176488360e+18
3.3000000000e+02,7.6159821905e-04,1.1098000000e+00,1.8436646470e+18
3.3050000000e+02,7.6044602810e-04,1.0429000000e+00,1.7351514956e+18
3.3100000000e+02,7.5929731809e-04,9.9100000000e-01,1.6512959506e+18
3.3150000000e+02,7.5815207326e-04,9.9396000000e-01,1.6587300319e+18
3.3200000000e+02,7.5701027797e-04,9.9277000000e-01,1.6592430084e+18
3.3250000000e+02,7.5587191665e-04,9.8003000000e-01,1.6404170988e+18
3.3300000000e+02,7.5473697384e-04,9.6394000000e-01,1.6159112459e+18
3.3350000000e+02,7.5360543414e-04,9.3700000000e-01,1.5731085691e+18
3.3400000000e+02,7.5247728230e-04,9.5557000000e-01,1.6066905567e+18
3.3450000000e+02,7.5135250310e-04,9.8862000000e-01,1.6647490734e+18
3.3500000000e+02,7.5023108145e-04,1.0097000000e+00,1.7027874119e+18
3.3550000000e+02,7.4911300235e-04,9.7453000000e-01,1.6459286510e+18
3.3600000000e+02,7.4799825085e-04,8.8979000000e-01,1.5050470111e+18
3.3650000000e+02,7.4688681215e-04,8.2900000000e-01,1.4043096065e+18
3.3700000000e+02,7.4577867148e-04,8.1800000000e-01,1.3877347777e+18
