# sim/spectral_table.csv -- the committed spectral basis for Q4 (northstar design §8, M1a0).
# Generated by tools/make_spectral_table.py; do not hand-edit.
# producer_commit: 5246a509ff21492c30ba97a51bc5832cc763dba6
# quadrature: trapezoid
# formatter: %.10e , newline \n
# grid: ASTM G173-03 native, 2002 rows, 280-4000 nm
# source: ASTMG173.csv  md5 b31870bd3500b58414100af7e4b0e04c  size 57708 B  pvlib-python commit 2d0ed71e1308293b3081979404f8e90f2f2dde1e
# source: iop2008.dat  md5 cf5f76d58a31aa5f994fa038c390a856  size 16514 B  Warren & Brandt 2008, IOP_2008_ASCIItable.dat
# k_per_m: 4*pi*m_im/lambda, m_im log-space interpolated over 250-4200 nm
# E_AM0: ASTM column 2 (extraterrestrial), W m^-2 nm^-1
# n_ph: E_AM0*lambda/(h c), h 6.62607015e-34 J s, c 299792458.0 m/s
lambda_nm,k_per_m,E_AM0,n_ph
4.5200000000e+02,2.7606705258e-03,2.0470000000e+00,4.6577861494e+18
4.5300000000e+02,2.8557086858e-03,1.8864000000e+00,4.3018499443e+18
4.5400000000e+02,2.9540330011e-03,2.0180000000e+00,4.6121166439e+18
4.5500000000e+02,3.0557575260e-03,2.0010000000e+00,4.5833365995e+18
4.5600000000e+02,3.1610002862e-03,2.0630000000e+00,4.7357344104e+18
4.5700000000e+02,3.2698834176e-03,2.0770000000e+00,4.7783280706e+18
4.5800000000e+02,3.3825333099e-03,2.0320000000e+00,4.6850307883e+18
4.5900000000e+02,3.4990807550e-03,2.0120000000e+00,4.6490469231e+18
4.6000000000e+02,3.6196611009e-03,1.9973000000e+00,4.6251348694e+18
4.6100000000e+02,3.7552608892e-03,2.0639000000e+00,4.7897499777e+18
4.6200000000e+02,3.8959588505e-03,2.0780000000e+00,4.8329331330e+18
4.6300000000e+02,4.0419472643e-03,2.0840000000e+00,4.8573788031e+18
4.6400000000e+02,4.1934256818e-03,2.0150000000e+00,4.7066976260e+18
4.6500000000e+02,4.3506012019e-03,1.9840000000e+00,4.6442745806e+18
4.6600000000e+02,4.5136887577e-03,2.0210000000e+00,4.7410605057e+18
4.6700000000e+02,4.6829114127e-03,1.9310000000e+00,4.5396505359e+18
4.6800000000e+02,4.8585006701e-03,2.0120000000e+00,4.7402047059e+18
4.6900000000e+02,5.0406967920e-03,2.0180000000e+00,4.7644993524e+18
4.7000000000e+02,5.2297491323e-03,1.9390000000e+00,4.5877414515e+18
4.7100000000e+02,5.4209163791e-03,1.9690000000e+00,4.6686346706e+18
4.7200000000e+02,5.6190968462e-03,2.0700000000e+00,4.9185332512e+18
4.7300000000e+02,5.8245486345e-03,1.9882000000e+00,4.7341768547e+18
4.7400000000e+02,6.0375393699e-03,2.0120000000e+00,4.8009765611e+18
4.7500000000e+02,6.2583465558e-03,2.0800000000e+00,4.9737071687e+18
4.7600000000e+02,6.4872579385e-03,2.0120000000e+00,4.8212338461e+18
4.7700000000e+02,6.7245718861e-03,2.0250000000e+00,4.8625790455e+18
4.7800000000e+02,6.9705977817e-03,2.0860000000e+00,5.0195579024e+18
4.7900000000e+02,7.2256564310e-03,2.0400000000e+00,4.9191373451e+18
4.8000000000e+02,7.4900804849e-03,2.0680000000e+00,4.9970654696e+18
4.8100000000e+02,7.7618507869e-03,2.0610000000e+00,4.9905261522e+18
4.8200000000e+02,8.0435167767e-03,2.0623000000e+00,5.0040558439e+18
4.8300000000e+02,8.3354398837e-03,2.0310000000e+00,4.9383324316e+18
4.8400000000e+02,8.6379947740e-03,1.9890000000e+00,4.8462232008e+18
4.8500000000e+02,8.9515698364e-03,1.9790000000e+00,4.8318205933e+18
4.8600000000e+02,9.2765676861e-03,1.6010000000e+00,3.9169756236e+18
4.8700000000e+02,9.6134056869e-03,1.7890000000e+00,4.3859388207e+18
4.8800000000e+02,9.9625164931e-03,1.9350000000e+00,4.7536155924e+18
4.8900000000e+02,1.0324348611e-02,1.8224000000e+00,4.4861711020e+18
4.9000000000e+02,1.0699366980e-02,2.0320000000e+00,5.0123691840e+18
4.9100000000e+02,1.1052038703e-02,1.9490000000e+00,4.8174431564e+18
4.9200000000e+02,1.1416382520e-02,1.8560000000e+00,4.5969136119e+18
4.9300000000e+02,1.1792786089e-02,1.9830000000e+00,4.9214480046e+18
4.9400000000e+02,1.2181649982e-02,1.9339000000e+00,4.8093261468e+18
4.9500000000e+02,1.2583388120e-02,2.0510000000e+00,5.1108616746e+18
4.9600000000e+02,1.2998428213e-02,1.9490000000e+00,4.8665006223e+18
4.9700000000e+02,1.3427212225e-02,1.9800000000e+00,4.9538727495e+18
4.9800000000e+02,1.3870196847e-02,1.9240000000e+00,4.8234488574e+18
4.9900000000e+02,1.4327853995e-02,1.9230000000e+00,4.8306224735e+18
5.0000000000e+02,1.4800671310e-02,1.9160000000e+00,4.8226836717e+18
5.0100000000e+02,1.5237493377e-02,1.8580000000e+00,4.6860476798e+18
5.0200000000e+02,1.5687270163e-02,1.8600000000e+00,4.7004553214e+18
5.0300000000e+02,1.6150387444e-02,1.9490000000e+00,4.9351810746e+18
5.0400000000e+02,1.6627242523e-02,1.8330000000e+00,4.6506779768e+18
5.0500000000e+02,1.7118244578e-02,1.9472000000e+00,4.9502280491e+18
5.0600000000e+02,1.7623815018e-02,2.0250000000e+00,5.1582075409e+18
5.0700000000e+02,1.8144387848e-02,1.9354000000e+00,4.9397158068e+18
5.0800000000e+02,1.8680410048e-02,1.8800000000e+00,4.8077826867e+18
5.0900000000e+02,1.9232341962e-02,1.9650000000e+00,5.0350478791e+18
5.1000000000e+02,1.9800657697e-02,1.9100000000e+00,4.9037329484e+18
5.1100000000e+02,2.0347268981e-02,1.9410000000e+00,4.9930935516e+18
5.1200000000e+02,2.0909049934e-02,1.9890000000e+00,5.1265832207e+18
5.1300000000e+02,2.1486423425e-02,1.8660000000e+00,4.8189483572e+18
5.1400000000e+02,2.2079824159e-02,1.8240000000e+00,4.7196655103e+18
5.1500000000e+02,2.2689699004e-02,1.8750000000e+00,4.8610688105e+18
5.1600000000e+02,2.3316507336e-02,1.8910000000e+00,4.9120694455e+18
5.1700000000e+02,2.3960721389e-02,1.5390000000e+00,4.0054602905e+18
5.1800000000e+02,2.4622826615e-02,1.7590000000e+00,4.5868957199e+18
5.1900000000e+02,2.5303322058e-02,1.7040000000e+00,4.4520518735e+18
5.2000000000e+02,2.6002720733e-02,1.8600000000e+00,4.8689975441e+18
5.2100000000e+02,2.6662095780e-02,1.8730000000e+00,4.9124570725e+18
5.2200000000e+02,2.7338291925e-02,1.9150000000e+00,5.0322539444e+18
5.2300000000e+02,2.8031740431e-02,1.8040000000e+00,4.7496487085e+18
5.2400000000e+02,2.8742883663e-02,1.9410000000e+00,5.1201194150e+18
5.2500000000e+02,2.9472175377e-02,1.9280000000e+00,5.0955327897e+18
5.2600000000e+02,3.0220081014e-02,1.8740000000e+00,4.9622495194e+18
5.2700000000e+02,3.0987078003e-02,1.6410000000e+00,4.3535392464e+18
5.2800000000e+02,3.1773656068e-02,1.8800000000e+00,4.9970654696e+18
5.2900000000e+02,3.2580317550e-02,1.9690000000e+00,5.2435408509e+18
5.3000000000e+02,3.3407577728e-02,1.8920000000e+00,5.0480107293e+18
5.3100000000e+02,3.4195977066e-02,1.9950000000e+00,5.3328662152e+18
5.3200000000e+02,3.5003106311e-02,1.9580000000e+00,5.2438177273e+18
5.3300000000e+02,3.5829412860e-02,1.7470000000e+00,4.6875226760e+18
5.3400000000e+02,3.6675354848e-02,1.8690000000e+00,5.0242799038e+18
5.3500000000e+02,3.7541401403e-02,1.8950000000e+00,5.1037132291e+18
5.3600000000e+02,3.8428032916e-02,1.9740000000e+00,5.3264175119e+18
5.3700000000e+02,3.9335741306e-02,1.8240000000e+00,4.9308567685e+18
5.3800000000e+02,4.0265030301e-02,1.9130000000e+00,5.1810825666e+18
5.3900000000e+02,4.1216415725e-02,1.8640000000e+00,5.0577567789e+18
5.4000000000e+02,4.2190425785e-02,1.8000000000e+00,4.8931613037e+18
5.4100000000e+02,4.3105749608e-02,1.7340000000e+00,4.7224745473e+18
5.4200000000e+02,4.4041081912e-02,1.8880000000e+00,5.1513913471e+18
5.4300000000e+02,4.4996862744e-02,1.8510000000e+00,5.0597553232e+18
5.4400000000e+02,4.5973541883e-02,1.9190000000e+00,5.2552955131e+18
5.4500000000e+02,4.6971579046e-02,1.8740000000e+00,5.1414942739e+18
5.4600000000e+02,4.7991444119e-02,1.8609000000e+00,5.1149211862e+18
5.4700000000e+02,4.9033617375e-02,1.8820000000e+00,5.1823914369e+18
5.4800000000e+02,5.0098589707e-02,1.8260000000e+00,5.0373786751e+18
5.4900000000e+02,5.1186862867e-02,1.8800000000e+00,5.1958123917e+18
5.5000000000e+02,5.2298949702e-02,1.8630000000e+00,5.1582075409e+18
5.5100000000e+02,5.3340369256e-02,1.8590000000e+00,5.1564909072e+18
5.5200000000e+02,5.4402705602e-02,1.8960000000e+00,5.2686661267e+18
5.5300000000e+02,5.5486381727e-02,1.8420000000e+00,5.1278820227e+18
5.5400000000e+02,5.6591829224e-02,1.8780000000e+00,5.2375552863e+18
5.5500000000e+02,5.7719488460e-02,1.8890000000e+00,5.2777426388e+18
5.5600000000e+02,5.8869808764e-02,1.8570000000e+00,5.1976850831e+18
5.5700000000e+02,6.0043248600e-02,1.8120000000e+00,5.0808533058e+18
5.5800000000e+02,6.1240275762e-02,1.8530000000e+00,5.2051456438e+18
5.5900000000e+02,6.2461367563e-02,1.7550000000e+00,4.9386948880e+18
5.6000000000e+02,6.3707011025e-02,1.7860000000e+00,5.0349220262e+18
5.6100000000e+02,6.4865835441e-02,1.8900000000e+00,5.3376234554e+18
5.6200000000e+02,6.6045948618e-02,1.8010000000e+00,5.0953414932e+18
5.6300000000e+02,6.7247744673e-02,1.8710000000e+00,5.3028024711e+18
5.6400000000e+02,6.8471625064e-02,1.8360000000e+00,5.2128478422e+18
5.6500000000e+02,6.9717998732e-02,1.8490000000e+00,5.2590660664e+18
5.6600000000e+02,7.0987282234e-02,1.7500000000e+00,4.9862924602e+18
5.6700000000e+02,7.2279899893e-02,1.8680000000e+00,5.3319147672e+18
5.6800000000e+02,7.3596283935e-02,1.8590000000e+00,5.3155840931e+18
5.6900000000e+02,7.4936874647e-02,1.8310000000e+00,5.2447389706e+18
5.7000000000e+02,7.6302120520e-02,1.8280000000e+00,5.2453480987e+18
5.7100000000e+02,7.7580770261e-02,1.7620000000e+00,5.0648347468e+18
5.7200000000e+02,7.8881089195e-02,1.8720000000e+00,5.3904514747e+18
5.7300000000e+02,8.0203447700e-02,1.8810000000e+00,5.4258362800e+18
5.7400000000e+02,8.1548222528e-02,1.8730000000e+00,5.4121887900e+18
5.7500000000e+02,8.2915796916e-02,1.8340000000e+00,5.3087276263e+18
5.7600000000e+02,8.4306560698e-02,1.8180000000e+00,5.2715657778e+18
5.7700000000e+02,8.5720910417e-02,1.8620000000e+00,5.4085239531e+18
5.7800000000e+02,8.7159249446e-02,1.7990000000e+00,5.2345851575e+18
5.7900000000e+02,8.8621988102e-02,1.8160000000e+00,5.2931923426e+18
5.8000000000e+02,9.0109543767e-02,1.8340000000e+00,5.3548904752e+18
5.8100000000e+02,9.1497336502e-02,1.8330000000e+00,5.3611982233e+18
5.8200000000e+02,9.2906778103e-02,1.8520000000e+00,5.4260930200e+18
5.8300000000e+02,9.4338209509e-02,1.8630000000e+00,5.4676999934e+18
5.8400000000e+02,9.5791977069e-02,1.8540000000e+00,5.4506192359e+18
5.8500000000e+02,9.7268432628e-02,1.8360000000e+00,5.4069432405e+18
5.8600000000e+02,9.8767933614e-02,1.7920000000e+00,5.2863862170e+18
5.8700000000e+02,1.0029084313e-01,1.8380000000e+00,5.4313385694e+18
5.8800000000e+02,1.0183753004e-01,1.8210000000e+00,5.3902702465e+18
5.8900000000e+02,1.0340836907e-01,1.6240000000e+00,4.8153137251e+18
5.9000000000e+02,1.0500374090e-01,1.7218000000e+00,5.1139677245e+18
5.9100000000e+02,1.0641431963e-01,1.8090000000e+00,5.3820696706e+18
5.9200000000e+02,1.0784415629e-01,1.7880000000e+00,5.3285922503e+18
5.9300000000e+02,1.0929351680e-01,1.7920000000e+00,5.3495341752e+18
5.9400000000e+02,1.1076267083e-01,1.7890000000e+00,5.3495845164e+18
5.9500000000e+02,1.1225189178e-01,1.7780000000e+00,5.3256422580e+18
5.9600000000e+02,1.1376145688e-01,1.7960000000e+00,5.3885989198e+18
5.9700000000e+02,1.1529164719e-01,1.8060000000e+00,5.4276938690e+18
5.9800000000e+02,1.1684274772e-01,1.7720000000e+00,5.3344318255e+18
5.9900000000e+02,1.1841504745e-01,1.7640000000e+00,5.3192287935e+18
6.0000000000e+02,1.2000883937e-01,1.7700000000e+00,5.3462317947e+18
6.0100000000e+02,1.2203839125e-01,1.7420000000e+00,5.2704280675e+18
6.0200000000e+02,1.2410260985e-01,1.7150000000e+00,5.1973729678e+18
6.0300000000e+02,1.2620209193e-01,1.7490000000e+00,5.3092159356e+18
6.0400000000e+02,1.2833744454e-01,1.7790000000e+00,5.4092387977e+18
6.0500000000e+02,1.3050928528e-01,1.7730000000e+00,5.3999206479e+18
6.0600000000e+02,1.3271824244e-01,1.7580000000e+00,5.3630860170e+18
6.0700000000e+02,1.3496495520e-01,1.7620000000e+00,5.3841588290e+18
6.0800000000e+02,1.3725007381e-01,1.7510000000e+00,5.3593607707e+18
6.0900000000e+02,1.3957425979e-01,1.7340000000e+00,5.3160573000e+18
6.1000000000e+02,1.4193818612e-01,1.7240000000e+00,5.2940783471e+18
6.1100000000e+02,1.4484872684e-01,1.7120000000e+00,5.2658470214e+18
6.1200000000e+02,1.4781934616e-01,1.7360000000e+00,5.3484065331e+18
6.1300000000e+02,1.5085129098e-01,1.7100000000e+00,5.2769120096e+18
6.1400000000e+02,1.5394583415e-01,1.6550000000e+00,5.1155182324e+18
6.1500000000e+02,1.5710427509e-01,1.7120000000e+00,5.3003206516e+18
6.1600000000e+02,1.6032794031e-01,1.6640000000e+00,5.1600903005e+18
6.1700000000e+02,1.6361818398e-01,1.6410000000e+00,5.0970279223e+18
6.1800000000e+02,1.6697638852e-01,1.7020000000e+00,5.2950650339e+18
6.1900000000e+02,1.7040396517e-01,1.7090000000e+00,5.3254459274e+18
6.2000000000e+02,1.7390235463e-01,1.7110000000e+00,5.3402915372e+18
6.2100000000e+02,1.7699465720e-01,1.7240000000e+00,5.3895453337e+18
6.2200000000e+02,1.8014241369e-01,1.6784000000e+00,5.2554404956e+18
6.2300000000e+02,1.8334662528e-01,1.6820000000e+00,5.2751802735e+18
6.2400000000e+02,1.8660831130e-01,1.6670000000e+00,5.2365283265e+18
6.2500000000e+02,1.8992850959e-01,1.6440000000e+00,5.1725547732e+18
6.2600000000e+02,1.9330827684e-01,1.6400000000e+00,5.1682254329e+18
6.2700000000e+02,1.9674868894e-01,1.6930000000e+00,5.3437701117e+18
6.2800000000e+02,2.0025084128e-01,1.6930000000e+00,5.3522928711e+18
6.2900000000e+02,2.0381584919e-01,1.6870000000e+00,5.3418168745e+18
6.3000000000e+02,2.0744484824e-01,1.6650000000e+00,5.2805365735e+18
6.3100000000e+02,2.1044881915e-01,1.6590000000e+00,5.2698592123e+18
6.3200000000e+02,2.1349682622e-01,1.5901000000e+00,5.0590012126e+18
6.3300000000e+02,2.1658952094e-01,1.6740000000e+00,5.3343613479e+18
6.3400000000e+02,2.1972756452e-01,1.6370000000e+00,5.2246981526e+18
6.3500000000e+02,2.2291162802e-01,1.6520000000e+00,5.2808889617e+18
6.3600000000e+02,2.2614239248e-01,1.6093000000e+00,5.1524928118e+18
6.3700000000e+02,2.2942054914e-01,1.6610000000e+00,5.3263822731e+18
6.3800000000e+02,2.3274679949e-01,1.6650000000e+00,5.3475910062e+18
6.3900000000e+02,2.3612185553e-01,1.6530000000e+00,5.3173712044e+18
6.4000000000e+02,2.3954643984e-01,1.6130000000e+00,5.1968192150e+18
6.4100000000e+02,2.4300168545e-01,1.6100000000e+00,5.1952586389e+18
6.4200000000e+02,2.4650736987e-01,1.6090000000e+00,5.2001316637e+18
6.4300000000e+02,2.5006423606e-01,1.6250000000e+00,5.2600225485e+18
6.4400000000e+02,2.5367303799e-01,1.6140000000e+00,5.2325413062e+18
6.4500000000e+02,2.5733454082e-01,1.6270000000e+00,5.2828774377e+18
6.4600000000e+02,2.6104952107e-01,1.5910000000e+00,5.1739945305e+18
6.4700000000e+02,2.6481876678e-01,1.6060000000e+00,5.2308599112e+18
6.4800000000e+02,2.6864307767e-01,1.6020000000e+00,5.2258962723e+18
6.4900000000e+02,2.7252326537e-01,1.5510000000e+00,5.0673367028e+18
6.5000000000e+02,2.7646015352e-01,1.5260000000e+00,4.9933402233e+18
6.5100000000e+02,2.8018321734e-01,1.6130000000e+00,5.2861395453e+18
6.5200000000e+02,2.8395708935e-01,1.5910000000e+00,5.2220502072e+18
6.5300000000e+02,2.8778246975e-01,1.5980000000e+00,5.2530704335e+18
6.5400000000e+02,2.9166006846e-01,1.5750000000e+00,5.1853917704e+18
6.5500000000e+02,2.9559060526e-01,1.5230000000e+00,5.0218584937e+18
6.5600000000e+02,2.9957480994e-01,1.3233000000e+00,4.3700400737e+18
6.5700000000e+02,3.0361342242e-01,1.3840000000e+00,4.5774617855e+18
6.5800000000e+02,3.0770719289e-01,1.5390000000e+00,5.0978585515e+18
6.5900000000e+02,3.1185688199e-01,1.5420000000e+00,5.1155585054e+18
6.6000000000e+02,3.1606326091e-01,1.5580000000e+00,5.1764813841e+18
6.6100000000e+02,3.1970679308e-01,1.5660000000e+00,5.2109449461e+18
6.6200000000e+02,3.2339306753e-01,1.5710000000e+00,5.2354912985e+18
6.6300000000e+02,3.2712259181e-01,1.5630000000e+00,5.2166989413e+18
6.6400000000e+02,3.3089587952e-01,1.5540000000e+00,5.1944833849e+18
6.6500000000e+02,3.3471345045e-01,1.5670000000e+00,5.2458263398e+18
6.6600000000e+02,3.3857583061e-01,1.5550000000e+00,5.2134821408e+18
6.6700000000e+02,3.4248355231e-01,1.5354000000e+00,5.1554981794e+18
6.6800000000e+02,3.4643715424e-01,1.5348000000e+00,5.1612098881e+18
6.6900000000e+02,3.5043718157e-01,1.5580000000e+00,5.2470697666e+18
6.7000000000e+02,3.5448418599e-01,1.5340000000e+00,5.1739643258e+18
6.7100000000e+02,3.5753420459e-01,1.5290000000e+00,5.1647971995e+18
6.7200000000e+02,3.6061126680e-01,1.5060000000e+00,5.0946870581e+18
6.7300000000e+02,3.6371561669e-01,1.5170000000e+00,5.1395360026e+18
6.7400000000e+02,3.6684750055e-01,1.5130000000e+00,5.1336007792e+18
6.7500000000e+02,3.7000716695e-01,1.4990000000e+00,5.0936449960e+18
6.7600000000e+02,3.7319486672e-01,1.5150000000e+00,5.1556401415e+18
6.7700000000e+02,3.7641085298e-01,1.5000000000e+00,5.1121453743e+18
6.7800000000e+02,3.7965538118e-01,1.5070000000e+00,5.1435884664e+18
6.7900000000e+02,3.8292870908e-01,1.4930000000e+00,5.1033205680e+18
6.8000000000e+02,3.8623109682e-01,1.4940000000e+00,5.1142597033e+18
6.8100000000e+02,3.9103491236e-01,1.4870000000e+00,5.0977830398e+18
6.8200000000e+02,3.9589932984e-01,1.4930000000e+00,5.1258683761e+18
6.8300000000e+02,4.0082512173e-01,1.4760000000e+00,5.0749331847e+18
6.8400000000e+02,4.0581307040e-01,1.4660000000e+00,5.0479301834e+18
6.8500000000e+02,4.1086396830e-01,1.4650000000e+00,5.0518618284e+18
6.8600000000e+02,4.1597861805e-01,1.4330000000e+00,4.9487278823e+18
6.8700000000e+02,4.2115783258e-01,1.4720000000e+00,5.0908208566e+18
6.8800000000e+02,4.2640243528e-01,1.4760000000e+00,5.1120849649e+18
6.8900000000e+02,4.3171326012e-01,1.4780000000e+00,5.1264523336e+18
6.9000000000e+02,4.3709115180e-01,1.4790000000e+00,5.1373662983e+18
6.9100000000e+02,4.4479688177e-01,1.4680000000e+00,5.1065474367e+18
6.9200000000e+02,4.5263940843e-01,1.4540000000e+00,5.0651669985e+18
6.9300000000e+02,4.6062117409e-01,1.4580000000e+00,5.0864411751e+18
6.9400000000e+02,4.6874466489e-01,1.4570000000e+00,5.0902872402e+18
6.9500000000e+02,4.7701241154e-01,1.4350000000e+00,5.0206503057e+18
6.9600000000e+02,4.8542699018e-01,1.4420000000e+00,5.0524004789e+18
6.9700000000e+02,4.9399102316e-01,1.4380000000e+00,5.0456245580e+18
6.9800000000e+02,5.0270717989e-01,1.4170000000e+00,4.9790735370e+18
6.9900000000e+02,5.1157817767e-01,1.4340000000e+00,5.0460272873e+18
7.0000000000e+02,5.2060678259e-01,1.4220000000e+00,5.0109596313e+18
7.0100000000e+02,5.2881758490e-01,1.4131000000e+00,4.9867107952e+18
7.0200000000e+02,5.3715897783e-01,1.3987000000e+00,4.9429356278e+18
7.0300000000e+02,5.4563305231e-01,1.4095000000e+00,4.9881978733e+18
7.0400000000e+02,5.5424193297e-01,1.4187000000e+00,5.0278984268e+18
7.0500000000e+02,5.6298777863e-01,1.4330000000e+00,5.0857917741e+18
7.0600000000e+02,5.7187278287e-01,1.4138000000e+00,5.0247672063e+18
7.0700000000e+02,5.8089917461e-01,1.4040000000e+00,4.9970050602e+18
7.0800000000e+02,5.9006921865e-01,1.3990000000e+00,4.9862521872e+18
7.0900000000e+02,5.9938521627e-01,1.3900000000e+00,4.9611722185e+18
7.1000000000e+02,6.0884950582e-01,1.4040000000e+00,5.0182087592e+18
7.1100000000e+02,6.1769397639e-01,1.3970000000e+00,5.0002218607e+18
7.1200000000e+02,6.2666816608e-01,1.3818000000e+00,4.9527732984e+18
7.1300000000e+02,6.3577399174e-01,1.3702000000e+00,4.9180932694e+18
7.1400000000e+02,6.4501339874e-01,1.3819000000e+00,4.9670450189e+18
7.1500000000e+02,6.5438836136e-01,1.3502000000e+00,4.8599008955e+18
7.1600000000e+02,6.6390088325e-01,1.3694000000e+00,4.9359029670e+18
7.1700000000e+02,6.7355299783e-01,1.3650000000e+00,4.9269150552e+18
7.1800000000e+02,6.8334676881e-01,1.3570000000e+00,4.9048706588e+18
7.1900000000e+02,6.9328429054e-01,1.3010000000e+00,4.7090082855e+18
7.2000000000e+02,7.0336768855e-01,1.3487000000e+00,4.8884493705e+18
7.2100000000e+02,7.0696186290e-01,1.3480000000e+00,4.8926981649e+18
7.2200000000e+02,7.1057577021e-01,1.3600000000e+00,4.9430997400e+18
7.2300000000e+02,7.1420952150e-01,1.3510000000e+00,4.9171891420e+18
7.2400000000e+02,7.1786322840e-01,1.3607000000e+00,4.9593438273e+18
7.2500000000e+02,7.2153700322e-01,1.3465000000e+00,4.9143675197e+18
7.2600000000e+02,7.2523095890e-01,1.3429000000e+00,4.9079887906e+18
7.2700000000e+02,7.2894520902e-01,1.3444000000e+00,4.9202388098e+18
7.2800000000e+02,7.3267986783e-01,1.3370000000e+00,4.8998868834e+18
7.2900000000e+02,7.3643505024e-01,1.2796000000e+00,4.6959669031e+18
7.3000000000e+02,7.4021087180e-01,1.3357000000e+00,4.9085707345e+18
7.3100000000e+02,7.4922214826e-01,1.3104000000e+00,4.8221923419e+18
7.3200000000e+02,7.5834454653e-01,1.3333000000e+00,4.9131749375e+18
7.3300000000e+02,7.6757945006e-01,1.3108000000e+00,4.8368617576e+18
7.3400000000e+02,7.7692825963e-01,1.3390000000e+00,4.9476606496e+18
7.3500000000e+02,7.8639239358e-01,1.3271000000e+00,4.9103704311e+18
7.3600000000e+02,7.9597328808e-01,1.3100000000e+00,4.8536938298e+18
7.3700000000e+02,8.0567239730e-01,1.3120000000e+00,4.8677088103e+18
7.3800000000e+02,8.1549119365e-01,1.3000000000e+00,4.8297314349e+18
7.3900000000e+02,8.2543116802e-01,1.2646000000e+00,4.7045802766e+18
7.4000000000e+02,8.3549383004e-01,1.2830000000e+00,4.7794909516e+18
7.4100000000e+02,8.4922751848e-01,1.2707000000e+00,4.7400672745e+18
7.4200000000e+02,8.6318853074e-01,1.2649000000e+00,4.7247993023e+18
7.4300000000e+02,8.7738065091e-01,1.2892000000e+00,4.8220574276e+18
7.4400000000e+02,8.9180772637e-01,1.2955000000e+00,4.8521433219e+18
7.4500000000e+02,9.0647366886e-01,1.2920000000e+00,4.8455385609e+18
7.4600000000e+02,9.2138245556e-01,1.2892000000e+00,4.8415273768e+18
7.4700000000e+02,9.3653813016e-01,1.2890000000e+00,4.8472652629e+18
7.4800000000e+02,9.5194480402e-01,1.2808000000e+00,4.8228769818e+18
7.4900000000e+02,9.6760665730e-01,1.2760000000e+00,4.8112260224e+18
7.5000000000e+02,9.8352794008e-01,1.2740000000e+00,4.8100983803e+18
7.5100000000e+02,1.0008005697e+00,1.2680000000e+00,4.7938281155e+18
7.5200000000e+02,1.0183783453e+00,1.2720000000e+00,4.8153539980e+18
7.5300000000e+02,1.0362666845e+00,1.2650000000e+00,4.7952225658e+18
7.5400000000e+02,1.0544711012e+00,1.2809000000e+00,4.8619427332e+18
7.5500000000e+02,1.0729972079e+00,1.2771000000e+00,4.8539480526e+18
7.5600000000e+02,1.0918507170e+00,1.2610000000e+00,4.7991038697e+18
7.5700000000e+02,1.1110374429e+00,1.2598000000e+00,4.8008788992e+18
7.5800000000e+02,1.1305633036e+00,1.2680000000e+00,4.8385109342e+18
7.5900000000e+02,1.1504343226e+00,1.2500000000e+00,4.7761180935e+18
7.6000000000e+02,1.1706566309e+00,1.2590000000e+00,4.8168440965e+18
7.6100000000e+02,1.1918013361e+00,1.2487000000e+00,4.7837231334e+18
7.6200000000e+02,1.2133300575e+00,1.2460000000e+00,4.7796520433e+18
7.6300000000e+02,1.2352498016e+00,1.2543000000e+00,4.8178051093e+18
7.6400000000e+02,1.2575677029e+00,1.2566000000e+00,4.8329653514e+18
7.6500000000e+02,1.2802910268e+00,1.2452000000e+00,4.7953886917e+18
7.6600000000e+02,1.3034271716e+00,1.2000000000e+00,4.6273599489e+18
7.6700000000e+02,1.3269836714e+00,1.2120000000e+00,4.6797348977e+18
7.6800000000e+02,1.3509681981e+00,1.2310000000e+00,4.7592940759e+18
7.6900000000e+02,1.3753885642e+00,1.2142000000e+00,4.7004543146e+18
7.7000000000e+02,1.4002527256e+00,1.2146000000e+00,4.7081172469e+18
7.7100000000e+02,1.4228334355e+00,1.2073000000e+00,4.6858981666e+18
7.7200000000e+02,1.4457807178e+00,1.2120000000e+00,4.7102416441e+18
7.7300000000e+02,1.4691005561e+00,1.2100000000e+00,4.7085602491e+18
7.7400000000e+02,1.4927990319e+00,1.2090000000e+00,4.7107551239e+18
7.7500000000e+02,1.5168823265e+00,1.2080000000e+00,4.7129399305e+18
7.7600000000e+02,1.5413567227e+00,1.2102000000e+00,4.7276153872e+18
7.7700000000e+02,1.5662286061e+00,1.2028000000e+00,4.7047625116e+18
7.7800000000e+02,1.5915044673e+00,1.2014000000e+00,4.7053343872e+18
7.7900000000e+02,1.6171909031e+00,1.2067000000e+00,4.7321667319e+18
7.8000000000e+02,1.6432946188e+00,1.1930000000e+00,4.6844468308e+18
7.8100000000e+02,1.6652796904e+00,1.1898000000e+00,4.6778712677e+18
7.8200000000e+02,1.6875616593e+00,1.1950000000e+00,4.7043315912e+18
7.8300000000e+02,1.7101445646e+00,1.1896000000e+00,4.6890621088e+18
7.8400000000e+02,1.7330325004e+00,1.1810000000e+00,4.6611086664e+18
7.8500000000e+02,1.7562296170e+00,1.1874000000e+00,4.6923453597e+18
7.8600000000e+02,1.7797401216e+00,1.1890000000e+00,4.7046537747e+18
7.8700000000e+02,1.8035682787e+00,1.1877000000e+00,4.7054889346e+18
7.8800000000e+02,1.8277184115e+00,1.1800000000e+00,4.6809229492e+18
7.8900000000e+02,1.8521949022e+00,1.1812000000e+00,4.6916295083e+18
