# git_sha=2e836f72ab445e44a257a087e76653b13739de99
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# organism_md5=8882eac48ee3e4932e643650e75e0732
# prereg_md5=58583216a0b7901bc9c9f0971ccee866
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-11T04:09:49-04:00
class,k,r_au,net_carbon
algal,10.0,30.1763,1.79429
algal,10.0,30.9906,1.70749
algal,10.0,31.8268,1.62342
algal,10.0,32.6855,1.54205
algal,10.0,33.5675,1.46337
algal,10.0,34.4732,1.38736
algal,10.0,35.4034,1.31398
algal,10.0,36.3586,1.2432
algal,10.0,37.3397,1.17498
algal,10.0,38.3472,1.10927
algal,10.0,39.3819,1.04603
algal,10.0,40.4445,0.985196
algal,10.0,41.5358,0.926726
algal,10.0,42.6565,0.870559
algal,10.0,43.8075,0.816636
algal,10.0,44.9895,0.764897
algal,10.0,46.2034,0.715282
algal,10.0,47.4501,0.667728
algal,10.0,48.7304,0.622173
algal,10.0,50.0453,0.578553
algal,10.0,51.3956,0.536807
algal,10.0,52.7824,0.496871
algal,10.0,54.2066,0.458683
algal,10.0,55.6692,0.422182
algal,10.0,57.1713,0.387306
algal,10.0,58.7139,0.353996
algal,10.0,60.2981,0.322192
algal,10.0,61.9251,0.291837
algal,10.0,63.596,0.262874
algal,10.0,65.3119,0.235247
algal,10.0,67.0742,0.208904
algal,10.0,68.884,0.18379
algal,10.0,70.7427,0.159856
algal,10.0,72.6515,0.137052
algal,10.0,74.6118,0.115329
algal,10.0,76.625,0.0946419
algal,10.0,78.6925,0.0749444
algal,10.0,80.8158,0.0561937
algal,10.0,82.9964,0.0383477
algal,10.0,85.2358,0.021366
algal,10.0,87.5357,0.00520971
algal,10.0,89.8976,-0.0101587
algal,10.0,92.3233,-0.0247752
algal,10.0,94.8143,-0.0386744
algal,10.0,97.3727,-0.0518896
algal,10.0,100,-0.0644527
algal,20.0,0.5,9.67932
algal,20.0,0.513491,9.67819
algal,20.0,0.527346,9.677
algal,20.0,0.541575,9.67574
algal,20.0,0.556188,9.67442
algal,20.0,0.571196,9.67302
algal,20.0,0.586608,9.67155
algal,20.0,0.602436,9.67
algal,20.0,0.618691,9.66836
algal,20.0,0.635385,9.66664
algal,20.0,0.652529,9.66482
algal,20.0,0.670135,9.66291
algal,20.0,0.688217,9.66088
algal,20.0,0.706787,9.65875
algal,20.0,0.725858,9.65651
algal,20.0,0.745443,9.65414
algal,20.0,0.765557,9.65164
algal,20.0,0.786213,9.64901
algal,20.0,0.807427,9.64624
algal,20.0,0.829213,9.64332
algal,20.0,0.851588,9.64023
algal,20.0,0.874565,9.63699
algal,20.0,0.898163,9.63356
algal,20.0,0.922398,9.62995
algal,20.0,0.947286,9.62615
algal,20.0,0.972846,9.62214
algal,20.0,0.999096,9.61792
algal,20.0,1.02605,9.61347
algal,20.0,1.05374,9.60878
algal,20.0,1.08217,9.60384
algal,20.0,1.11137,9.59863
algal,20.0,1.14136,9.59315
algal,20.0,1.17215,9.58737
algal,20.0,1.20378,9.58128
algal,20.0,1.23626,9.57487
algal,20.0,1.26962,9.56812
algal,20.0,1.30388,9.56101
algal,20.0,1.33906,9.55352
algal,20.0,1.37519,9.54563
algal,20.0,1.4123,9.53732
algal,20.0,1.4504,9.52858
algal,20.0,1.48954,9.51937
algal,20.0,1.52973,9.50968
algal,20.0,1.571,9.49948
algal,20.0,1.61339,9.48874
algal,20.0,1.65693,9.47745
algal,20.0,1.70163,9.46556
algal,20.0,1.74755,9.45306
algal,20.0,1.7947,9.4399
algal,20.0,1.84313,9.42607
algal,20.0,1.89286,9.41152
algal,20.0,1.94393,9.39622
algal,20.0,1.99638,9.38013
algal,20.0,2.05025,9.36323
algal,20.0,2.10557,9.34546
algal,20.0,2.16239,9.32679
algal,20.0,2.22073,9.30719
algal,20.0,2.28065,9.28659
algal,20.0,2.34219,9.26496
algal,20.0,2.40539,9.24226
algal,20.0,2.47029,9.21843
algal,20.0,2.53694,9.19342
algal,20.0,2.6054,9.16719
algal,20.0,2.6757,9.13969
algal,20.0,2.74789,9.11085
algal,20.0,2.82204,9.08062
algal,20.0,2.89818,9.04895
algal,20.0,2.97638,9.01578
algal,20.0,3.05669,8.98105
algal,20.0,3.13917,8.9447
algal,20.0,3.22387,8.90666
algal,20.0,3.31086,8.86689
algal,20.0,3.40019,8.82531
algal,20.0,3.49194,8.78186
algal,20.0,3.58616,8.73649
algal,20.0,3.68292,8.68912
algal,20.0,3.78229,8.63969
algal,20.0,3.88435,8.58815
algal,20.0,3.98916,8.53442
algal,20.0,4.09679,8.47846
algal,20.0,4.20734,8.4202
algal,20.0,4.32086,8.35959
algal,20.0,4.43745,8.29657
algal,20.0,4.55718,8.23109
algal,20.0,4.68014,8.16309
algal,20.0,4.80642,8.09255
algal,20.0,4.93611,8.01941
algal,20.0,5.0693,7.94364
algal,20.0,5.20608,7.8652
algal,20.0,5.34655,7.78408
algal,20.0,5.49082,7.70025
algal,20.0,5.63897,7.61369
algal,20.0,5.79112,7.52441
algal,20.0,5.94738,7.4324
algal,20.0,6.10785,7.33768
algal,20.0,6.27266,7.24026
algal,20.0,6.44191,7.14017
algal,20.0,6.61573,7.03744
algal,20.0,6.79423,6.93212
algal,20.0,6.97756,6.82427
algal,20.0,7.16583,6.71396
algal,20.0,7.35918,6.60125
algal,20.0,7.55775,6.48624
algal,20.0,7.76167,6.36902
algal,20.0,7.9711,6.2497
algal,20.0,8.18618,6.12839
algal,20.0,8.40706,6.00522
algal,20.0,8.6339,5.88033
algal,20.0,8.86687,5.75386
algal,20.0,9.10612,5.62596
algal,20.0,9.35182,5.4968
algal,20.0,9.60415,5.36653
algal,20.0,9.8633,5.23534
algal,20.0,10.1294,5.1034
algal,20.0,10.4027,4.97089
algal,20.0,10.6834,4.838
algal,20.0,10.9717,4.70491
algal,20.0,11.2677,4.57181
algal,20.0,11.5718,4.4389
algal,20.0,11.884,4.30635
algal,20.0,12.2047,4.17436
algal,20.0,12.534,4.04311
algal,20.0,12.8722,3.91277
algal,20.0,13.2195,3.78352
algal,20.0,13.5762,3.65552
algal,20.0,13.9425,3.52894
algal,20.0,14.3187,3.40393
algal,20.0,14.7051,3.28063
algal,20.0,15.1018,3.15918
algal,20.0,15.5093,3.03971
algal,20.0,15.9278,2.92233
algal,20.0,16.3576,2.80715
algal,20.0,16.7989,2.69427
algal,20.0,17.2522,2.58377
algal,20.0,17.7177,2.47574
algal,20.0,18.1958,2.37024
algal,20.0,18.6867,2.26732
algal,20.0,19.1909,2.16703
algal,20.0,19.7088,2.06941
algal,20.0,20.2405,1.97449
algal,20.0,20.7867,1.88228
algal,20.0,21.3476,1.7928
algal,20.0,21.9236,1.70604
algal,20.0,22.5151,1.62201
algal,20.0,23.1226,1.54069
algal,20.0,23.7465,1.46205
algal,20.0,24.3873,1.38609
algal,20.0,25.0453,1.31275
algal,20.0,25.7211,1.24202
algal,20.0,26.4151,1.17384
algal,20.0,27.1278,1.10817
algal,20.0,27.8598,1.04497
algal,20.0,28.6115,0.984183
algal,20.0,29.3835,0.925753
algal,20.0,30.1763,0.869624
algal,20.0,30.9906,0.815739
algal,20.0,31.8268,0.764037
algal,20.0,32.6855,0.714457
algal,20.0,33.5675,0.666938
algal,20.0,34.4732,0.621416
algal,20.0,35.4034,0.577829
algal,20.0,36.3586,0.536114
algal,20.0,37.3397,0.496208
algal,20.0,38.3472,0.458049
algal,20.0,39.3819,0.421576
algal,20.0,40.4445,0.386727
algal,20.0,41.5358,0.353443
algal,20.0,42.6565,0.321664
algal,20.0,43.8075,0.291333
algal,20.0,44.9895,0.262393
algal,20.0,46.2034,0.234789
algal,20.0,47.4501,0.208467
algal,20.0,48.7304,0.183374
algal,20.0,50.0453,0.15946
algal,20.0,51.3956,0.136674
algal,20.0,52.7824,0.114969
algal,20.0,54.2066,0.094299
algal,20.0,55.6692,0.0746181
algal,20.0,57.1713,0.055883
algal,20.0,58.7139,0.038052
algal,20.0,60.2981,0.0210847
algal,20.0,61.9251,0.00494213
algal,20.0,63.596,-0.0104132
algal,20.0,65.3119,-0.0250172
algal,20.0,67.0742,-0.0389045
algal,20.0,68.884,-0.0521084
algal,20.0,70.7427,-0.0646607
algal,20.0,72.6515,-0.0765919
algal,20.0,74.6118,-0.0879314
algal,20.0,76.625,-0.0987071
algal,20.0,78.6925,-0.108946
algal,20.0,80.8158,-0.118674
algal,20.0,82.9964,-0.127915
algal,20.0,85.2358,-0.136693
algal,20.0,87.5357,-0.14503
algal,20.0,89.8976,-0.152948
algal,20.0,92.3233,-0.160467
algal,20.0,94.8143,-0.167607
algal,20.0,97.3727,-0.174386
algal,20.0,100,-0.180823
algal,40.0,0.5,9.65872
algal,40.0,0.513491,9.65647
algal,40.0,0.527346,9.6541
algal,40.0,0.541575,9.6516
algal,40.0,0.556188,9.64897
algal,40.0,0.571196,9.64619
algal,40.0,0.586608,9.64326
algal,40.0,0.602436,9.64018
algal,40.0,0.618691,9.63693
algal,40.0,0.635385,9.6335
algal,40.0,0.652529,9.62989
algal,40.0,0.670135,9.62608
algal,40.0,0.688217,9.62207
algal,40.0,0.706787,9.61785
algal,40.0,0.725858,9.61339
algal,40.0,0.745443,9.6087
algal,40.0,0.765557,9.60375
algal,40.0,0.786213,9.59854
algal,40.0,0.807427,9.59305
algal,40.0,0.829213,9.58727
algal,40.0,0.851588,9.58118
algal,40.0,0.874565,9.57476
algal,40.0,0.898163,9.568
algal,40.0,0.922398,9.56088
algal,40.0,0.947286,9.55339
algal,40.0,0.972846,9.54549
algal,40.0,0.999096,9.53718
algal,40.0,1.02605,9.52843
algal,40.0,1.05374,9.51921
algal,40.0,1.08217,9.50951
algal,40.0,1.11137,9.4993
algal,40.0,1.14136,9.48856
algal,40.0,1.17215,9.47725
algal,40.0,1.20378,9.46535
algal,40.0,1.23626,9.45284
algal,40.0,1.26962,9.43967
algal,40.0,1.30388,9.42582
algal,40.0,1.33906,9.41126
algal,40.0,1.37519,9.39595
algal,40.0,1.4123,9.37985
algal,40.0,1.4504,9.36293
algal,40.0,1.48954,9.34515
algal,40.0,1.52973,9.32647
algal,40.0,1.571,9.30684
algal,40.0,1.61339,9.28623
algal,40.0,1.65693,9.26459
algal,40.0,1.70163,9.24186
algal,40.0,1.74755,9.21801
algal,40.0,1.7947,9.19299
algal,40.0,1.84313,9.16674
algal,40.0,1.89286,9.13921
algal,40.0,1.94393,9.11035
algal,40.0,1.99638,9.08009
algal,40.0,2.05025,9.0484
algal,40.0,2.10557,9.0152
algal,40.0,2.16239,8.98044
algal,40.0,2.22073,8.94406
algal,40.0,2.28065,8.906
algal,40.0,2.34219,8.8662
algal,40.0,2.40539,8.82459
algal,40.0,2.47029,8.78111
algal,40.0,2.53694,8.7357
algal,40.0,2.6054,8.68829
algal,40.0,2.6757,8.63883
algal,40.0,2.74789,8.58725
algal,40.0,2.82204,8.53349
algal,40.0,2.89818,8.47749
algal,40.0,2.97638,8.41919
algal,40.0,3.05669,8.35854
algal,40.0,3.13917,8.29548
algal,40.0,3.22387,8.22995
algal,40.0,3.31086,8.16192
algal,40.0,3.40019,8.09133
algal,40.0,3.49194,8.01814
algal,40.0,3.58616,7.94233
algal,40.0,3.68292,7.86385
algal,40.0,3.78229,7.78268
algal,40.0,3.88435,7.6988
algal,40.0,3.98916,7.6122
algal,40.0,4.09679,7.52287
algal,40.0,4.20734,7.43082
algal,40.0,4.32086,7.33605
algal,40.0,4.43745,7.23858
algal,40.0,4.55718,7.13844
algal,40.0,4.68014,7.03567
algal,40.0,4.80642,6.93031
algal,40.0,4.93611,6.82242
algal,40.0,5.0693,6.71206
algal,40.0,5.20608,6.59932
algal,40.0,5.34655,6.48426
algal,40.0,5.49082,6.36701
algal,40.0,5.63897,6.24765
algal,40.0,5.79112,6.12631
algal,40.0,5.94738,6.00311
algal,40.0,6.10785,5.87819
algal,40.0,6.27266,5.7517
algal,40.0,6.44191,5.62378
algal,40.0,6.61573,5.49459
algal,40.0,6.79423,5.36431
algal,40.0,6.97756,5.23311
algal,40.0,7.16583,5.10115
algal,40.0,7.35918,4.96863
algal,40.0,7.55775,4.83574
algal,40.0,7.76167,4.70265
algal,40.0,7.9711,4.56955
algal,40.0,8.18618,4.43664
algal,40.0,8.40706,4.30411
algal,40.0,8.6339,4.17213
algal,40.0,8.86687,4.04089
algal,40.0,9.10612,3.91056
algal,40.0,9.35182,3.78133
algal,40.0,9.60415,3.65336
algal,40.0,9.8633,3.5268
algal,40.0,10.1294,3.40182
algal,40.0,10.4027,3.27855
algal,40.0,10.6834,3.15713
algal,40.0,10.9717,3.0377
algal,40.0,11.2677,2.92035
algal,40.0,11.5718,2.80521
algal,40.0,11.884,2.69237
algal,40.0,12.2047,2.58192
algal,40.0,12.534,2.47393
algal,40.0,12.8722,2.36847
algal,40.0,13.2195,2.26559
algal,40.0,13.5762,2.16535
algal,40.0,13.9425,2.06777
algal,40.0,14.3187,1.9729
algal,40.0,14.7051,1.88074
algal,40.0,15.1018,1.7913
algal,40.0,15.5093,1.70459
algal,40.0,15.9278,1.62061
algal,40.0,16.3576,1.53933
algal,40.0,16.7989,1.46074
algal,40.0,17.2522,1.38482
algal,40.0,17.7177,1.31153
algal,40.0,18.1958,1.24084
algal,40.0,18.6867,1.1727
algal,40.0,19.1909,1.10708
algal,40.0,19.7088,1.04392
algal,40.0,20.2405,0.983171
algal,40.0,20.7867,0.92478
algal,40.0,21.3476,0.86869
algal,40.0,21.9236,0.814842
algal,40.0,22.5151,0.763177
algal,40.0,23.1226,0.713633
algal,40.0,23.7465,0.666148
algal,40.0,24.3873,0.620659
algal,40.0,25.0453,0.577104
algal,40.0,25.7211,0.535421
algal,40.0,26.4151,0.495545
algal,40.0,27.1278,0.457416
algal,40.0,27.8598,0.42097
algal,40.0,28.6115,0.386149
algal,40.0,29.3835,0.352891
algal,40.0,30.1763,0.321137
algal,40.0,30.9906,0.29083
algal,40.0,31.8268,0.261913
algal,40.0,32.6855,0.234331
algal,40.0,33.5675,0.20803
algal,40.0,34.4732,0.182958
algal,40.0,35.4034,0.159063
algal,40.0,36.3586,0.136296
algal,40.0,37.3397,0.11461
algal,40.0,38.3472,0.0939565
algal,40.0,39.3819,0.074292
algal,40.0,40.4445,0.0555726
algal,40.0,41.5358,0.0377567
algal,40.0,42.6565,0.0208037
algal,40.0,43.8075,0.00467477
algal,40.0,44.9895,-0.0106675
algal,40.0,46.2034,-0.025259
algal,40.0,47.4501,-0.0391345
algal,40.0,48.7304,-0.052327
algal,40.0,50.0453,-0.0648685
algal,40.0,51.3956,-0.0767894
algal,40.0,52.7824,-0.0881191
algal,40.0,54.2066,-0.0988855
algal,40.0,55.6692,-0.109116
algal,40.0,57.1713,-0.118835
algal,40.0,58.7139,-0.128068
algal,40.0,60.2981,-0.136838
algal,40.0,61.9251,-0.145168
algal,40.0,63.596,-0.153079
algal,40.0,65.3119,-0.160592
algal,40.0,67.0742,-0.167725
algal,40.0,68.884,-0.174499
algal,40.0,70.7427,-0.180929
algal,40.0,72.6515,-0.187034
algal,40.0,74.6118,-0.192829
algal,40.0,76.625,-0.19833
algal,40.0,78.6925,-0.203552
algal,40.0,80.8158,-0.208507
algal,40.0,82.9964,-0.213211
algal,40.0,85.2358,-0.217674
algal,40.0,87.5357,-0.22191
algal,40.0,89.8976,-0.22593
algal,40.0,92.3233,-0.229744
algal,40.0,94.8143,-0.233363
algal,40.0,97.3727,-0.236796
algal,40.0,100,-0.240054
