# git_sha=2e836f72ab445e44a257a087e76653b13739de99
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# organism_md5=8882eac48ee3e4932e643650e75e0732
# prereg_md5=58583216a0b7901bc9c9f0971ccee866
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-11T04:09:49-04:00
class,k,r_au,net_carbon
vascular,50.0,41.5358,-1.02796
vascular,50.0,42.6565,-1.0417
vascular,50.0,43.8075,-1.05477
vascular,50.0,44.9895,-1.06719
vascular,50.0,46.2034,-1.07899
vascular,50.0,47.4501,-1.09021
vascular,50.0,48.7304,-1.10088
vascular,50.0,50.0453,-1.11101
vascular,50.0,51.3956,-1.12063
vascular,50.0,52.7824,-1.12977
vascular,50.0,54.2066,-1.13846
vascular,50.0,55.6692,-1.14671
vascular,50.0,57.1713,-1.15454
vascular,50.0,58.7139,-1.16198
vascular,50.0,60.2981,-1.16904
vascular,50.0,61.9251,-1.17575
vascular,50.0,63.596,-1.18212
vascular,50.0,65.3119,-1.18816
vascular,50.0,67.0742,-1.1939
vascular,50.0,68.884,-1.19935
vascular,50.0,70.7427,-1.20452
vascular,50.0,72.6515,-1.20942
vascular,50.0,74.6118,-1.21408
vascular,50.0,76.625,-1.2185
vascular,50.0,78.6925,-1.22269
vascular,50.0,80.8158,-1.22667
vascular,50.0,82.9964,-1.23045
vascular,50.0,85.2358,-1.23403
vascular,50.0,87.5357,-1.23743
vascular,50.0,89.8976,-1.24066
vascular,50.0,92.3233,-1.24372
vascular,50.0,94.8143,-1.24662
vascular,50.0,97.3727,-1.24937
vascular,50.0,100,-1.25199
vascular,100.0,0.5,8.59743
vascular,100.0,0.513491,8.59188
vascular,100.0,0.527346,8.58603
vascular,100.0,0.541575,8.57987
vascular,100.0,0.556188,8.57339
vascular,100.0,0.571196,8.56655
vascular,100.0,0.586608,8.55936
vascular,100.0,0.602436,8.55178
vascular,100.0,0.618691,8.5438
vascular,100.0,0.635385,8.5354
vascular,100.0,0.652529,8.52655
vascular,100.0,0.670135,8.51724
vascular,100.0,0.688217,8.50744
vascular,100.0,0.706787,8.49712
vascular,100.0,0.725858,8.48626
vascular,100.0,0.745443,8.47483
vascular,100.0,0.765557,8.46281
vascular,100.0,0.786213,8.45016
vascular,100.0,0.807427,8.43685
vascular,100.0,0.829213,8.42286
vascular,100.0,0.851588,8.40815
vascular,100.0,0.874565,8.39267
vascular,100.0,0.898163,8.37641
vascular,100.0,0.922398,8.35932
vascular,100.0,0.947286,8.34135
vascular,100.0,0.972846,8.32248
vascular,100.0,0.999096,8.30265
vascular,100.0,1.02605,8.28183
vascular,100.0,1.05374,8.25996
vascular,100.0,1.08217,8.23701
vascular,100.0,1.11137,8.21292
vascular,100.0,1.14136,8.18764
vascular,100.0,1.17215,8.16113
vascular,100.0,1.20378,8.13333
vascular,100.0,1.23626,8.10418
vascular,100.0,1.26962,8.07364
vascular,100.0,1.30388,8.04164
vascular,100.0,1.33906,8.00812
vascular,100.0,1.37519,7.97303
vascular,100.0,1.4123,7.93631
vascular,100.0,1.4504,7.89789
vascular,100.0,1.48954,7.85771
vascular,100.0,1.52973,7.81572
vascular,100.0,1.571,7.77185
vascular,100.0,1.61339,7.72603
vascular,100.0,1.65693,7.6782
vascular,100.0,1.70163,7.6283
vascular,100.0,1.74755,7.57628
vascular,100.0,1.7947,7.52206
vascular,100.0,1.84313,7.46559
vascular,100.0,1.89286,7.4068
vascular,100.0,1.94393,7.34565
vascular,100.0,1.99638,7.28208
vascular,100.0,2.05025,7.21604
vascular,100.0,2.10557,7.14748
vascular,100.0,2.16239,7.07636
vascular,100.0,2.22073,7.00263
vascular,100.0,2.28065,6.92626
vascular,100.0,2.34219,6.84722
vascular,100.0,2.40539,6.76549
vascular,100.0,2.47029,6.68105
vascular,100.0,2.53694,6.59388
vascular,100.0,2.6054,6.50399
vascular,100.0,2.6757,6.41137
vascular,100.0,2.74789,6.31604
vascular,100.0,2.82204,6.21802
vascular,100.0,2.89818,6.11733
vascular,100.0,2.97638,6.01402
vascular,100.0,3.05669,5.90813
vascular,100.0,3.13917,5.79972
vascular,100.0,3.22387,5.68886
vascular,100.0,3.31086,5.57563
vascular,100.0,3.40019,5.46011
vascular,100.0,3.49194,5.34241
vascular,100.0,3.58616,5.22263
vascular,100.0,3.68292,5.10089
vascular,100.0,3.78229,4.97733
vascular,100.0,3.88435,4.85207
vascular,100.0,3.98916,4.72526
vascular,100.0,4.09679,4.59707
vascular,100.0,4.20734,4.46764
vascular,100.0,4.32086,4.33715
vascular,100.0,4.43745,4.20578
vascular,100.0,4.55718,4.07369
vascular,100.0,4.68014,3.94108
vascular,100.0,4.80642,3.80813
vascular,100.0,4.93611,3.67502
vascular,100.0,5.0693,3.54195
vascular,100.0,5.20608,3.4091
vascular,100.0,5.34655,3.27666
vascular,100.0,5.49082,3.14482
vascular,100.0,5.63897,3.01376
vascular,100.0,5.79112,2.88365
vascular,100.0,5.94738,2.75467
vascular,100.0,6.10785,2.62697
vascular,100.0,6.27266,2.50073
vascular,100.0,6.44191,2.37609
vascular,100.0,6.61573,2.2532
vascular,100.0,6.79423,2.13218
vascular,100.0,6.97756,2.01317
vascular,100.0,7.16583,1.89627
vascular,100.0,7.35918,1.7816
vascular,100.0,7.55775,1.66925
vascular,100.0,7.76167,1.5593
vascular,100.0,7.9711,1.45183
vascular,100.0,8.18618,1.3469
vascular,100.0,8.40706,1.24457
vascular,100.0,8.6339,1.14488
vascular,100.0,8.86687,1.04786
vascular,100.0,9.10612,0.953548
vascular,100.0,9.35182,0.861952
vascular,100.0,9.60415,0.773082
vascular,100.0,9.8633,0.686939
vascular,100.0,10.1294,0.603517
vascular,100.0,10.4027,0.5228
vascular,100.0,10.6834,0.444768
vascular,100.0,10.9717,0.369395
vascular,100.0,11.2677,0.296648
vascular,100.0,11.5718,0.22649
vascular,100.0,11.884,0.15888
vascular,100.0,12.2047,0.0937715
vascular,100.0,12.534,0.0311162
vascular,100.0,12.8722,-0.0291384
vascular,100.0,13.2195,-0.0870472
vascular,100.0,13.5762,-0.142667
vascular,100.0,13.9425,-0.196057
vascular,100.0,14.3187,-0.247277
vascular,100.0,14.7051,-0.296389
vascular,100.0,15.1018,-0.343454
vascular,100.0,15.5093,-0.388536
vascular,100.0,15.9278,-0.431698
vascular,100.0,16.3576,-0.473001
vascular,100.0,16.7989,-0.512509
vascular,100.0,17.2522,-0.550284
vascular,100.0,17.7177,-0.586387
vascular,100.0,18.1958,-0.62088
vascular,100.0,18.6867,-0.653821
vascular,100.0,19.1909,-0.68527
vascular,100.0,19.7088,-0.715283
vascular,100.0,20.2405,-0.743919
vascular,100.0,20.7867,-0.77123
vascular,100.0,21.3476,-0.797272
vascular,100.0,21.9236,-0.822096
vascular,100.0,22.5151,-0.845753
vascular,100.0,23.1226,-0.868291
vascular,100.0,23.7465,-0.88976
vascular,100.0,24.3873,-0.910204
vascular,100.0,25.0453,-0.929669
vascular,100.0,25.7211,-0.948198
vascular,100.0,26.4151,-0.965831
vascular,100.0,27.1278,-0.98261
vascular,100.0,27.8598,-0.998573
vascular,100.0,28.6115,-1.01376
vascular,100.0,29.3835,-1.0282
vascular,100.0,30.1763,-1.04193
vascular,100.0,30.9906,-1.05498
vascular,100.0,31.8268,-1.06739
vascular,100.0,32.6855,-1.07919
vascular,100.0,33.5675,-1.0904
vascular,100.0,34.4732,-1.10105
vascular,100.0,35.4034,-1.11117
vascular,100.0,36.3586,-1.12079
vascular,100.0,37.3397,-1.12993
vascular,100.0,38.3472,-1.1386
vascular,100.0,39.3819,-1.14684
vascular,100.0,40.4445,-1.15467
vascular,100.0,41.5358,-1.1621
vascular,100.0,42.6565,-1.16916
vascular,100.0,43.8075,-1.17586
vascular,100.0,44.9895,-1.18222
vascular,100.0,46.2034,-1.18826
vascular,100.0,47.4501,-1.19399
vascular,100.0,48.7304,-1.19944
vascular,100.0,50.0453,-1.2046
vascular,100.0,51.3956,-1.2095
vascular,100.0,52.7824,-1.21416
vascular,100.0,54.2066,-1.21857
vascular,100.0,55.6692,-1.22276
vascular,100.0,57.1713,-1.22674
vascular,100.0,58.7139,-1.23051
vascular,100.0,60.2981,-1.23409
vascular,100.0,61.9251,-1.23749
vascular,100.0,63.596,-1.24071
vascular,100.0,65.3119,-1.24377
vascular,100.0,67.0742,-1.24667
vascular,100.0,68.884,-1.24942
vascular,100.0,70.7427,-1.25203
vascular,100.0,72.6515,-1.25451
vascular,100.0,74.6118,-1.25685
vascular,100.0,76.625,-1.25908
vascular,100.0,78.6925,-1.2612
vascular,100.0,80.8158,-1.2632
vascular,100.0,82.9964,-1.2651
vascular,100.0,85.2358,-1.26691
vascular,100.0,87.5357,-1.26862
vascular,100.0,89.8976,-1.27024
vascular,100.0,92.3233,-1.27178
vascular,100.0,94.8143,-1.27324
vascular,100.0,97.3727,-1.27462
vascular,100.0,100,-1.27594
vascular,200.0,0.5,8.49694
vascular,200.0,0.513491,8.48607
vascular,200.0,0.527346,8.47463
vascular,200.0,0.541575,8.4626
vascular,200.0,0.556188,8.44994
vascular,200.0,0.571196,8.43662
vascular,200.0,0.586608,8.42262
vascular,200.0,0.602436,8.40789
vascular,200.0,0.618691,8.39241
vascular,200.0,0.635385,8.37613
vascular,200.0,0.652529,8.35902
vascular,200.0,0.670135,8.34104
vascular,200.0,0.688217,8.32215
vascular,200.0,0.706787,8.3023
vascular,200.0,0.725858,8.28146
vascular,200.0,0.745443,8.25958
vascular,200.0,0.765557,8.23661
vascular,200.0,0.786213,8.2125
vascular,200.0,0.807427,8.1872
vascular,200.0,0.829213,8.16067
vascular,200.0,0.851588,8.13285
vascular,200.0,0.874565,8.10368
vascular,200.0,0.898163,8.07311
vascular,200.0,0.922398,8.04108
vascular,200.0,0.947286,8.00754
vascular,200.0,0.972846,7.97242
vascular,200.0,0.999096,7.93567
vascular,200.0,1.02605,7.89722
vascular,200.0,1.05374,7.85702
vascular,200.0,1.08217,7.81499
vascular,200.0,1.11137,7.77108
vascular,200.0,1.14136,7.72523
vascular,200.0,1.17215,7.67737
vascular,200.0,1.20378,7.62744
vascular,200.0,1.23626,7.57537
vascular,200.0,1.26962,7.52112
vascular,200.0,1.30388,7.46461
vascular,200.0,1.33906,7.40578
vascular,200.0,1.37519,7.34459
vascular,200.0,1.4123,7.28098
vascular,200.0,1.4504,7.2149
vascular,200.0,1.48954,7.14629
vascular,200.0,1.52973,7.07512
vascular,200.0,1.571,7.00135
vascular,200.0,1.61339,6.92494
vascular,200.0,1.65693,6.84586
vascular,200.0,1.70163,6.76408
vascular,200.0,1.74755,6.67959
vascular,200.0,1.7947,6.59238
vascular,200.0,1.84313,6.50244
vascular,200.0,1.89286,6.40978
vascular,200.0,1.94393,6.3144
vascular,200.0,1.99638,6.21633
vascular,200.0,2.05025,6.1156
vascular,200.0,2.10557,6.01224
vascular,200.0,2.16239,5.90631
vascular,200.0,2.22073,5.79786
vascular,200.0,2.28065,5.68695
vascular,200.0,2.34219,5.57368
vascular,200.0,2.40539,5.45813
vascular,200.0,2.47029,5.34039
vascular,200.0,2.53694,5.22058
vascular,200.0,2.6054,5.09881
vascular,200.0,2.6757,4.97521
vascular,200.0,2.74789,4.84993
vascular,200.0,2.82204,4.7231
vascular,200.0,2.89818,4.59488
vascular,200.0,2.97638,4.46543
vascular,200.0,3.05669,4.33493
vascular,200.0,3.13917,4.20354
vascular,200.0,3.22387,4.07144
vascular,200.0,3.31086,3.93882
vascular,200.0,3.40019,3.80586
vascular,200.0,3.49194,3.67276
vascular,200.0,3.58616,3.53969
vascular,200.0,3.68292,3.40685
vascular,200.0,3.78229,3.27442
vascular,200.0,3.88435,3.14259
vascular,200.0,3.98916,3.01154
vascular,200.0,4.09679,2.88145
vascular,200.0,4.20734,2.75249
vascular,200.0,4.32086,2.62482
vascular,200.0,4.43745,2.4986
vascular,200.0,4.55718,2.37399
vascular,200.0,4.68014,2.25113
vascular,200.0,4.80642,2.13014
vascular,200.0,4.93611,2.01116
vascular,200.0,5.0693,1.89431
vascular,200.0,5.20608,1.77968
vascular,200.0,5.34655,1.66736
vascular,200.0,5.49082,1.55746
vascular,200.0,5.63897,1.45003
vascular,200.0,5.79112,1.34514
vascular,200.0,5.94738,1.24285
vascular,200.0,6.10785,1.14321
vascular,200.0,6.27266,1.04624
vascular,200.0,6.44191,0.951969
vascular,200.0,6.61573,0.860419
vascular,200.0,6.79423,0.771596
vascular,200.0,6.97756,0.685499
vascular,200.0,7.16583,0.602123
vascular,200.0,7.35918,0.521452
vascular,200.0,7.55775,0.443465
vascular,200.0,7.76167,0.368137
vascular,200.0,7.9711,0.295434
vascular,200.0,8.18618,0.22532
vascular,200.0,8.40706,0.157753
vascular,200.0,8.6339,0.0926867
vascular,200.0,8.86687,0.0300726
vascular,200.0,9.10612,-0.0301418
vascular,200.0,9.35182,-0.0880112
vascular,200.0,9.60415,-0.143593
vascular,200.0,9.8633,-0.196945
vascular,200.0,10.1294,-0.248129
vascular,200.0,10.4027,-0.297206
vascular,200.0,10.6834,-0.344237
vascular,200.0,10.9717,-0.389286
vascular,200.0,11.2677,-0.432415
vascular,200.0,11.5718,-0.473687
vascular,200.0,11.884,-0.513165
vascular,200.0,12.2047,-0.550911
vascular,200.0,12.534,-0.586987
vascular,200.0,12.8722,-0.621452
vascular,200.0,13.2195,-0.654368
vascular,200.0,13.5762,-0.685791
vascular,200.0,13.9425,-0.715781
vascular,200.0,14.3187,-0.744394
vascular,200.0,14.7051,-0.771683
vascular,200.0,15.1018,-0.797704
vascular,200.0,15.5093,-0.822507
vascular,200.0,15.9278,-0.846145
vascular,200.0,16.3576,-0.868665
vascular,200.0,16.7989,-0.890116
vascular,200.0,17.2522,-0.910543
vascular,200.0,17.7177,-0.929992
vascular,200.0,18.1958,-0.948504
vascular,200.0,18.6867,-0.966123
vascular,200.0,19.1909,-0.982888
vascular,200.0,19.7088,-0.998837
vascular,200.0,20.2405,-1.01401
vascular,200.0,20.7867,-1.02844
vascular,200.0,21.3476,-1.04215
vascular,200.0,21.9236,-1.0552
vascular,200.0,22.5151,-1.0676
vascular,200.0,23.1226,-1.07938
vascular,200.0,23.7465,-1.09058
vascular,200.0,24.3873,-1.10123
vascular,200.0,25.0453,-1.11134
vascular,200.0,25.7211,-1.12095
vascular,200.0,26.4151,-1.13008
vascular,200.0,27.1278,-1.13875
vascular,200.0,27.8598,-1.14698
vascular,200.0,28.6115,-1.1548
vascular,200.0,29.3835,-1.16223
vascular,200.0,30.1763,-1.16928
vascular,200.0,30.9906,-1.17597
vascular,200.0,31.8268,-1.18233
vascular,200.0,32.6855,-1.18836
vascular,200.0,33.5675,-1.19409
vascular,200.0,34.4732,-1.19953
vascular,200.0,35.4034,-1.20469
vascular,200.0,36.3586,-1.20958
vascular,200.0,37.3397,-1.21423
vascular,200.0,38.3472,-1.21864
vascular,200.0,39.3819,-1.22283
vascular,200.0,40.4445,-1.2268
vascular,200.0,41.5358,-1.23057
vascular,200.0,42.6565,-1.23415
vascular,200.0,43.8075,-1.23754
vascular,200.0,44.9895,-1.24076
vascular,200.0,46.2034,-1.24382
vascular,200.0,47.4501,-1.24671
vascular,200.0,48.7304,-1.24946
vascular,200.0,50.0453,-1.25207
vascular,200.0,51.3956,-1.25455
vascular,200.0,52.7824,-1.25689
vascular,200.0,54.2066,-1.25912
vascular,200.0,55.6692,-1.26123
vascular,200.0,57.1713,-1.26323
vascular,200.0,58.7139,-1.26513
vascular,200.0,60.2981,-1.26694
vascular,200.0,61.9251,-1.26865
vascular,200.0,63.596,-1.27027
vascular,200.0,65.3119,-1.2718
vascular,200.0,67.0742,-1.27326
vascular,200.0,68.884,-1.27465
vascular,200.0,70.7427,-1.27596
vascular,200.0,72.6515,-1.2772
vascular,200.0,74.6118,-1.27838
vascular,200.0,76.625,-1.2795
vascular,200.0,78.6925,-1.28056
vascular,200.0,80.8158,-1.28157
vascular,200.0,82.9964,-1.28252
vascular,200.0,85.2358,-1.28343
vascular,200.0,87.5357,-1.28428
vascular,200.0,89.8976,-1.2851
vascular,200.0,92.3233,-1.28587
vascular,200.0,94.8143,-1.2866
vascular,200.0,97.3727,-1.2873
vascular,200.0,100,-1.28795
algal,10.0,0.5,9.68965
algal,10.0,0.513491,9.68908
algal,10.0,0.527346,9.68849
algal,10.0,0.541575,9.68786
algal,10.0,0.556188,9.68719
algal,10.0,0.571196,9.68649
algal,10.0,0.586608,9.68576
algal,10.0,0.602436,9.68498
algal,10.0,0.618691,9.68416
algal,10.0,0.635385,9.68329
algal,10.0,0.652529,9.68238
algal,10.0,0.670135,9.68142
algal,10.0,0.688217,9.6804
algal,10.0,0.706787,9.67933
algal,10.0,0.725858,9.67821
algal,10.0,0.745443,9.67702
algal,10.0,0.765557,9.67576
algal,10.0,0.786213,9.67444
algal,10.0,0.807427,9.67305
algal,10.0,0.829213,9.67158
algal,10.0,0.851588,9.67003
algal,10.0,0.874565,9.66839
algal,10.0,0.898163,9.66667
algal,10.0,0.922398,9.66485
algal,10.0,0.947286,9.66294
algal,10.0,0.972846,9.66092
algal,10.0,0.999096,9.65879
algal,10.0,1.02605,9.65655
algal,10.0,1.05374,9.65418
algal,10.0,1.08217,9.65169
algal,10.0,1.11137,9.64906
algal,10.0,1.14136,9.64629
algal,10.0,1.17215,9.64337
algal,10.0,1.20378,9.64029
algal,10.0,1.23626,9.63704
algal,10.0,1.26962,9.63362
algal,10.0,1.30388,9.63002
algal,10.0,1.33906,9.62622
algal,10.0,1.37519,9.62221
algal,10.0,1.4123,9.61799
algal,10.0,1.4504,9.61355
algal,10.0,1.48954,9.60886
algal,10.0,1.52973,9.60393
algal,10.0,1.571,9.59872
algal,10.0,1.61339,9.59324
algal,10.0,1.65693,9.58747
algal,10.0,1.70163,9.58139
algal,10.0,1.74755,9.57498
algal,10.0,1.7947,9.56824
algal,10.0,1.84313,9.56113
algal,10.0,1.89286,9.55365
algal,10.0,1.94393,9.54577
algal,10.0,1.99638,9.53747
algal,10.0,2.05025,9.52873
algal,10.0,2.10557,9.51953
algal,10.0,2.16239,9.50985
algal,10.0,2.22073,9.49966
algal,10.0,2.28065,9.48893
algal,10.0,2.34219,9.47764
algal,10.0,2.40539,9.46577
algal,10.0,2.47029,9.45327
algal,10.0,2.53694,9.44013
algal,10.0,2.6054,9.42631
algal,10.0,2.6757,9.41177
algal,10.0,2.74789,9.39648
algal,10.0,2.82204,9.38041
algal,10.0,2.89818,9.36352
algal,10.0,2.97638,9.34577
algal,10.0,3.05669,9.32712
algal,10.0,3.13917,9.30753
algal,10.0,3.22387,9.28695
algal,10.0,3.31086,9.26534
algal,10.0,3.40019,9.24265
algal,10.0,3.49194,9.21884
algal,10.0,3.58616,9.19386
algal,10.0,3.68292,9.16765
algal,10.0,3.78229,9.14017
algal,10.0,3.88435,9.11135
algal,10.0,3.98916,9.08115
algal,10.0,4.09679,9.0495
algal,10.0,4.20734,9.01636
algal,10.0,4.32086,8.98165
algal,10.0,4.43745,8.94533
algal,10.0,4.55718,8.90732
algal,10.0,4.68014,8.86758
algal,10.0,4.80642,8.82603
algal,10.0,4.93611,8.78262
algal,10.0,5.0693,8.73727
algal,10.0,5.20608,8.68994
algal,10.0,5.34655,8.64055
algal,10.0,5.49082,8.58904
algal,10.0,5.63897,8.53536
algal,10.0,5.79112,8.47943
algal,10.0,5.94738,8.42121
algal,10.0,6.10785,8.36064
algal,10.0,6.27266,8.29766
algal,10.0,6.44191,8.23222
algal,10.0,6.61573,8.16427
algal,10.0,6.79423,8.09377
algal,10.0,6.97756,8.02067
algal,10.0,7.16583,7.94495
algal,10.0,7.35918,7.86656
algal,10.0,7.55775,7.78548
algal,10.0,7.76167,7.70169
algal,10.0,7.9711,7.61519
algal,10.0,8.18618,7.52595
algal,10.0,8.40706,7.43399
algal,10.0,8.6339,7.33931
algal,10.0,8.86687,7.24194
algal,10.0,9.10612,7.14189
algal,10.0,9.35182,7.03921
algal,10.0,9.60415,6.93393
algal,10.0,9.8633,6.82613
algal,10.0,10.1294,6.71585
algal,10.0,10.4027,6.60319
algal,10.0,10.6834,6.48821
algal,10.0,10.9717,6.37103
algal,10.0,11.2677,6.25174
algal,10.0,11.5718,6.13046
algal,10.0,11.884,6.00733
algal,10.0,12.2047,5.88247
algal,10.0,12.534,5.75602
algal,10.0,12.8722,5.62815
algal,10.0,13.2195,5.499
algal,10.0,13.5762,5.36876
algal,10.0,13.9425,5.23758
algal,10.0,14.3187,5.10565
algal,10.0,14.7051,4.97314
algal,10.0,15.1018,4.84026
algal,10.0,15.5093,4.70717
algal,10.0,15.9278,4.57407
algal,10.0,16.3576,4.44115
algal,10.0,16.7989,4.3086
algal,10.0,17.2522,4.1766
algal,10.0,17.7177,4.04533
algal,10.0,18.1958,3.91498
algal,10.0,18.6867,3.7857
algal,10.0,19.1909,3.65769
algal,10.0,19.7088,3.53108
algal,10.0,20.2405,3.40604
algal,10.0,20.7867,3.28271
algal,10.0,21.3476,3.16123
algal,10.0,21.9236,3.04172
algal,10.0,22.5151,2.92431
algal,10.0,23.1226,2.80909
algal,10.0,23.7465,2.69617
algal,10.0,24.3873,2.58563
algal,10.0,25.0453,2.47756
algal,10.0,25.7211,2.37201
algal,10.0,26.4151,2.26904
algal,10.0,27.1278,2.16871
algal,10.0,27.8598,2.07105
algal,10.0,28.6115,1.97608
algal,10.0,29.3835,1.88382
