# git_sha=fc6ba42a6af761d788fb4814ec1b1bc65001bcf7
# thermal_md5=6b0ecfc0353686a3534939ac9eff9a0e
# organism_md5=8882eac48ee3e4932e643650e75e0732
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# prereg_md5=fd303cb1dd48869a087e55db63a2b44c
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-06T01:21:36-04:00
class,omega,outer_au,binding
algal,10,1.2119,temperature
algal,15,1.3794,temperature
algal,20,1.6178,temperature
algal,25,1.9718,temperature
algal,30,2.5289,temperature
