# git_sha=91bdb973b9ce646a9508c9dd17abe9efc2198ff6
# thermal_md5=6b0ecfc0353686a3534939ac9eff9a0e
# organism_md5=8882eac48ee3e4932e643650e75e0732
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# prereg_md5=a7d25919e942f6bdc2894e16f1311c90
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-11T04:06:11-04:00
class,omega,r_au,t_eq,response,net_carbon
algal,25,0.635385,349.1502,0.000325851,-11.7593
algal,25,0.652529,344.5330,0.000896935,-8.53207
algal,25,0.670135,339.9768,0.00227848,-6.20539
algal,25,0.688217,335.4809,0.00535668,-4.50717
algal,25,0.706787,331.0445,0.0116869,-3.23685
algal,25,0.725858,326.6667,0.0237253,-2.23938
algal,25,0.745443,322.3468,0.0449312,-1.38776
algal,25,0.765557,318.0841,0.0795783,-0.573645
algal,25,0.786213,313.8777,0.132131,0.294355
algal,25,0.807427,309.7269,0.206157,1.28534
algal,25,0.829213,305.6311,0.302946,2.43626
algal,25,0.851588,301.5893,0.420211,3.74171
algal,25,0.874565,297.6011,0.551363,5.14874
algal,25,0.898163,293.6656,0.685771,6.56082
algal,25,0.922398,289.7821,0.810154,7.85277
algal,25,0.947286,285.9500,0.910864,8.89414
algal,25,0.972846,282.1685,0.976474,9.57544
algal,25,0.999096,278.4371,0.999975,9.83021
algal,25,1.02605,274.7550,0.979969,9.64713
algal,25,1.05374,271.1216,0.920624,9.06958
algal,25,1.08217,267.5363,0.830475,8.1838
algal,25,1.11137,263.9983,0.720527,7.10008
algal,25,1.14136,260.5072,0.602196,5.93238
algal,25,1.17215,257.0622,0.48557,4.78114
algal,25,1.20378,253.6628,0.378299,3.72237
algal,25,1.23626,250.3083,0.285173,2.8036
algal,25,1.26962,246.9982,0.208294,2.04557
algal,25,1.30388,243.7318,0.147612,1.44771
algal,25,1.33906,240.5087,0.101627,0.995076
algal,25,1.37519,237.3282,0.0680598,0.665029
algal,25,1.4123,234.1897,0.0443907,0.432614
algal,25,1.4504,231.0928,0.0282313,0.274188
algal,25,1.48954,228.0368,0.0175268,0.169443
algal,25,1.52973,225.0212,0.0106338,0.102157
algal,25,1.571,222.0455,0.00631183,0.0600977
algal,25,1.61339,219.1091,0.00366907,0.0344838
algal,25,1.65693,216.2116,0.00209087,0.0192721
algal,25,1.70163,213.3524,0.0011692,0.0104572
algal,25,1.74755,210.5310,0.000642173,0.00547312
algal,25,1.7947,207.7469,0.000346747,0.0027259
algal,25,1.84313,204.9996,0.000184227,0.00125337
algal,25,1.89286,202.2887,9.63929e-05,0.000489923
algal,25,1.94393,199.6136,4.97101e-05,0.000111319
algal,25,1.99638,196.9738,2.5287e-05,-6.39175e-05
algal,25,2.05025,194.3690,1.26982e-05,-0.000135
algal,25,2.10557,191.7987,6.29937e-06,-0.000154889
algal,25,2.16239,189.2623,3.08943e-06,-0.000151141
algal,25,2.22073,186.7595,1.49895e-06,-0.000137672
algal,25,2.28065,184.2897,7.19975e-07,-0.000121244
algal,25,2.34219,181.8527,3.42569e-07,-0.000104952
algal,25,2.40539,179.4478,1.61568e-07,-9.00698e-05
algal,25,2.47029,177.0748,7.55785e-08,-7.69973e-05
algal,25,2.53694,174.7331,3.5086e-08,-6.57398e-05
algal,25,2.6054,172.4224,1.61736e-08,-5.61412e-05
algal,25,2.6757,170.1423,7.40719e-09,-4.79947e-05
algal,25,2.74789,167.8923,3.37211e-09,-4.10921e-05
algal,25,2.82204,165.6721,1.52677e-09,-3.52437e-05
algal,25,2.89818,163.4812,6.87831e-10,-3.02841e-05
algal,25,2.97638,161.3193,3.08482e-10,-2.60723e-05
algal,25,3.05669,159.1860,1.37789e-10,-2.24897e-05
algal,25,3.13917,157.0809,6.1324e-11,-1.94368e-05
algal,25,3.22387,155.0036,2.72056e-11,-1.68306e-05
algal,25,3.31086,152.9538,1.20358e-11,-1.46015e-05
algal,25,3.40019,150.9312,5.31191e-12,-1.26915e-05
algal,25,3.49194,148.9352,2.33965e-12,-1.10517e-05
algal,25,3.58616,146.9657,1.02881e-12,-9.6414e-06
algal,25,3.68292,145.0222,4.51805e-13,-8.42626e-06
algal,25,3.78229,143.1044,1.98221e-13,-7.37741e-06
algal,25,3.88435,141.2120,8.69095e-14,-6.47047e-06
algal,25,3.98916,139.3446,3.80928e-14,-5.68488e-06
algal,25,4.09679,137.5018,1.66957e-14,-5.00323e-06
algal,25,4.20734,135.6835,7.31943e-15,-4.41075e-06
algal,25,4.32086,133.8892,3.21057e-15,-3.89492e-06
algal,25,4.43745,132.1186,1.4094e-15,-3.44508e-06
algal,25,4.55718,130.3715,6.19361e-16,-3.05214e-06
algal,25,4.68014,128.6474,2.72532e-16,-2.70836e-06
algal,25,4.80642,126.9462,1.20103e-16,-2.40709e-06
algal,25,4.93611,125.2674,5.30222e-17,-2.14268e-06
algal,25,5.0693,123.6109,2.34539e-17,-1.91025e-06
algal,25,5.20608,121.9762,1.03973e-17,-1.70562e-06
algal,25,5.34655,120.3632,4.62016e-18,-1.5252e-06
algal,25,5.49082,118.7715,2.05829e-18,-1.36587e-06
algal,25,5.63897,117.2008,9.19496e-19,-1.22498e-06
algal,25,5.79112,115.6510,4.11964e-19,-1.1002e-06
algal,25,5.94738,114.1216,1.85143e-19,-9.89542e-07
algal,25,6.10785,112.6124,8.34764e-20,-8.91259e-07
algal,25,6.27266,111.1232,3.77652e-20,-8.03849e-07
algal,25,6.44191,109.6537,1.71456e-20,-7.26002e-07
algal,25,6.61573,108.2036,7.81283e-21,-6.56578e-07
algal,25,6.79423,106.7727,3.57366e-21,-5.94582e-07
algal,25,6.97756,105.3608,1.64104e-21,-5.39147e-07
algal,25,7.16583,103.9675,7.56626e-22,-4.89513e-07
algal,25,7.35918,102.5926,3.50303e-22,-4.45017e-07
algal,25,7.55775,101.2359,1.62875e-22,-4.05075e-07
algal,25,7.76167,99.8971,7.60599e-23,-3.69178e-07
algal,25,7.9711,98.5761,3.5677e-23,-3.36874e-07
algal,25,8.18618,97.2725,1.68109e-23,-3.0777e-07
algal,25,8.40706,95.9861,7.95794e-24,-2.81516e-07
algal,25,8.6339,94.7168,3.78487e-24,-2.57806e-07
algal,25,8.86687,93.4643,1.80874e-24,-2.36367e-07
algal,25,9.10612,92.2283,8.68564e-25,-2.1696e-07
algal,25,9.35182,91.0086,4.19142e-25,-1.99372e-07
algal,25,9.60415,89.8051,2.03272e-25,-1.83415e-07
algal,25,9.8633,88.6175,9.90781e-26,-1.68922e-07
algal,25,10.1294,87.4456,4.85382e-26,-1.55743e-07
algal,25,10.4027,86.2892,2.3901e-26,-1.43747e-07
algal,25,10.6834,85.1481,1.18303e-26,-1.32815e-07
algal,25,10.9717,84.0221,5.88628e-27,-1.22843e-07
algal,25,11.2677,82.9110,2.9442e-27,-1.13737e-07
algal,25,11.5718,81.8146,1.48044e-27,-1.05414e-07
algal,25,11.884,80.7327,7.48386e-28,-9.77974e-08
algal,25,12.2047,79.6650,3.8035e-28,-9.08215e-08
algal,25,12.534,78.6115,1.94346e-28,-8.44258e-08
algal,25,12.8722,77.5720,9.98415e-29,-7.85563e-08
algal,25,13.2195,76.5461,5.15704e-29,-7.31646e-08
algal,25,13.5762,75.5339,2.67824e-29,-6.8207e-08
algal,25,13.9425,74.5350,1.39851e-29,-6.36444e-08
algal,25,14.3187,73.5494,7.34271e-30,-5.94413e-08
algal,25,14.7051,72.5767,3.87634e-30,-5.55661e-08
algal,25,15.1018,71.6170,2.05763e-30,-5.19898e-08
algal,25,15.5093,70.6699,1.09824e-30,-4.86864e-08
algal,25,15.9278,69.7353,5.89399e-31,-4.56326e-08
algal,25,16.3576,68.8132,3.18058e-31,-4.2807e-08
algal,25,16.7989,67.9032,1.72579e-31,-4.01903e-08
algal,25,17.2522,67.0052,9.41568e-32,-3.7765e-08
algal,25,17.7177,66.1191,5.16532e-32,-3.55153e-08
algal,25,18.1958,65.2447,2.84919e-32,-3.34268e-08
algal,25,18.6867,64.3819,1.58023e-32,-3.14863e-08
algal,25,19.1909,63.5305,8.81236e-33,-2.96819e-08
algal,25,19.7088,62.6904,4.94117e-33,-2.80028e-08
algal,25,20.2405,61.8614,2.78566e-33,-2.6439e-08
algal,25,20.7867,61.0433,1.579e-33,-2.49815e-08
algal,25,21.3476,60.2361,8.9988e-34,-2.36221e-08
algal,25,21.9236,59.4395,5.15619e-34,-2.23532e-08
algal,25,22.5151,58.6535,2.97034e-34,-2.11679e-08
algal,25,23.1226,57.8778,1.72032e-34,-2.00599e-08
algal,25,23.7465,57.1124,1.00168e-34,-1.90234e-08
algal,25,24.3873,56.3572,5.86354e-35,-1.80531e-08
algal,25,25.0453,55.6119,3.45054e-35,-1.71442e-08
algal,25,25.7211,54.8765,2.04128e-35,-1.62922e-08
algal,25,26.4151,54.1508,1.21394e-35,-1.54929e-08
algal,25,27.1278,53.4347,7.25702e-36,-1.47427e-08
algal,25,27.8598,52.7281,4.3609e-36,-1.4038e-08
algal,25,28.6115,52.0308,2.63414e-36,-1.33756e-08
algal,25,29.3835,51.3427,1.59931e-36,-1.27527e-08
algal,25,30.1763,50.6638,9.75998e-37,-1.21664e-08
algal,25,30.9906,49.9938,5.9865e-37,-1.16143e-08
algal,25,31.8268,49.3326,3.69057e-37,-1.10941e-08
algal,25,32.6855,48.6803,2.28663e-37,-1.06036e-08
algal,25,33.5675,48.0365,1.42386e-37,-1.01409e-08
algal,25,34.4732,47.4013,8.91038e-38,-9.70404e-09
algal,25,35.4034,46.7744,5.60359e-38,-9.29144e-09
algal,25,36.3586,46.1559,3.54132e-38,-8.90149e-09
algal,25,37.3397,45.5455,2.24894e-38,-8.53274e-09
algal,25,38.3472,44.9432,1.43513e-38,-8.18385e-09
algal,25,39.3819,44.3489,9.20218e-39,-7.85355e-09
algal,25,40.4445,43.7624,5.92872e-39,-7.5407e-09
algal,25,41.5358,43.1837,3.83784e-39,-7.2442e-09
algal,25,42.6565,42.6126,2.49606e-39,-6.96305e-09
algal,25,43.8075,42.0491,1.63098e-39,-6.69632e-09
algal,25,44.9895,41.4930,1.07067e-39,-6.44313e-09
algal,25,46.2034,40.9443,7.06084e-40,-6.20268e-09
algal,25,47.4501,40.4029,4.67777e-40,-5.9742e-09
algal,25,48.7304,39.8686,3.11305e-40,-5.757e-09
algal,25,50.0453,39.3413,2.08106e-40,-5.55041e-09
algal,25,51.3956,38.8211,1.39738e-40,-5.35382e-09
algal,25,52.7824,38.3077,9.42467e-41,-5.16665e-09
algal,25,54.2066,37.8011,6.38439e-41,-4.98838e-09
algal,25,55.6692,37.3012,4.3437e-41,-4.8185e-09
algal,25,57.1713,36.8080,2.96805e-41,-4.65653e-09
algal,25,58.7139,36.3212,2.03676e-41,-4.50204e-09
algal,25,60.2981,35.8409,1.40361e-41,-4.35462e-09
algal,25,61.9251,35.3669,9.71356e-42,-4.21389e-09
algal,25,63.596,34.8992,6.75022e-42,-4.07947e-09
algal,25,65.3119,34.4377,4.71031e-42,-3.95104e-09
algal,25,67.0742,33.9823,3.30033e-42,-3.82826e-09
algal,25,68.884,33.5329,2.32181e-42,-3.71085e-09
algal,25,70.7427,33.0895,1.63998e-42,-3.59853e-09
algal,25,72.6515,32.6519,1.163e-42,-3.49102e-09
algal,25,74.6118,32.2201,8.28011e-43,-3.38808e-09
algal,25,76.625,31.7940,5.91818e-43,-3.28948e-09
algal,25,78.6925,31.3736,4.24641e-43,-3.195e-09
algal,25,80.8158,30.9587,3.05859e-43,-3.10443e-09
algal,25,82.9964,30.5493,2.21141e-43,-3.01757e-09
algal,25,85.2358,30.1453,1.60492e-43,-2.93424e-09
algal,25,87.5357,29.7466,1.16911e-43,-2.85427e-09
algal,25,89.8976,29.3533,8.54792e-44,-2.7775e-09
algal,25,92.3233,28.9651,6.27268e-44,-2.70376e-09
algal,25,94.8143,28.5821,4.61975e-44,-2.63292e-09
algal,25,97.3727,28.2041,3.4146e-44,-2.56484e-09
algal,25,100,27.8311,2.53281e-44,-2.49938e-09
algal,30,0.5,393.5914,3.86492e-07,-256.044
algal,30,0.513491,388.3865,1.42282e-06,-178.497
algal,30,0.527346,383.2505,4.85338e-06,-125.032
algal,30,0.541575,378.1823,1.53793e-05,-87.994
algal,30,0.556188,373.1812,4.53841e-05,-62.2159
algal,30,0.571196,368.2462,0.000125024,-44.191
algal,30,0.586608,363.3764,0.000322274,-31.5289
algal,30,0.602436,358.5711,0.000779083,-22.5917
algal,30,0.618691,353.8293,0.00177022,-16.2511
algal,30,0.635385,349.1502,0.00378866,-11.7248
algal,30,0.652529,344.5330,0.00765353,-8.46474
algal,30,0.670135,339.9768,0.0146228,-6.08241
algal,30,0.688217,335.4809,0.0264755,-4.29681
algal,30,0.706787,331.0445,0.0455119,-2.9
algal,30,0.725858,326.6667,0.0744174,-1.73466
algal,30,0.745443,322.3468,0.11595,-0.680833
algal,30,0.765557,318.0841,0.17245,0.350581
algal,30,0.786213,313.8777,0.245237,1.41965
algal,30,0.807427,309.7269,0.334001,2.55692
algal,30,0.829213,305.6311,0.436352,3.76276
algal,30,0.851588,301.5893,0.547671,5.00869
algal,30,0.874565,297.6011,0.661368,6.24185
algal,30,0.898163,293.6656,0.769547,7.39302
algal,30,0.922398,289.7821,0.863983,8.38729
algal,30,0.947286,285.9500,0.937222,9.15578
algal,30,0.972846,282.1685,0.983603,9.64618
algal,30,0.999096,278.4371,0.999982,9.83028
algal,30,1.02605,274.7550,0.986047,9.70738
algal,30,1.05374,271.1216,0.944185,9.30305
algal,30,1.08217,267.5363,0.878975,8.66414
algal,30,1.11137,263.9983,0.796427,7.85139
algal,30,1.14136,260.5072,0.703138,6.93101
algal,30,1.17215,257.0622,0.605508,5.967
algal,30,1.20378,253.6628,0.509131,5.01517
algal,30,1.23626,250.3083,0.418411,4.11931
algal,30,1.26962,246.9982,0.336402,3.30976
algal,30,1.30388,243.7318,0.264851,2.6038
algal,30,1.33906,240.5087,0.204373,2.00748
algal,30,1.37519,237.3282,0.154706,1.51812
algal,30,1.4123,234.1897,0.114979,1.12702
algal,30,1.4504,231.0928,0.0839689,0.822009
algal,30,1.48954,228.0368,0.0603043,0.589492
algal,30,1.52973,225.0212,0.042623,0.415961
algal,30,1.571,222.0455,0.0296709,0.289004
algal,30,1.61339,219.1091,0.0203573,0.19784
algal,30,1.65693,216.2116,0.0137758,0.13352
algal,30,1.70163,213.3524,0.0092005,0.0888874
algal,30,1.74755,210.5310,0.00606865,0.0583978
algal,30,1.7947,207.7469,0.00395577,0.0378775
algal,30,1.84313,204.9996,0.00254974,0.0242605
algal,30,1.89286,202.2887,0.00162608,0.0153455
algal,30,1.94393,199.6136,0.00102664,0.00958388
algal,30,1.99638,196.9738,0.000642049,0.00590642
algal,30,2.05025,194.3690,0.000397942,0.0035877
algal,30,2.10557,191.7987,0.000244569,0.00214333
algal,30,2.16239,189.2623,0.000149117,0.00125464
algal,30,2.22073,186.7595,9.02419e-05,0.000714898
algal,30,2.28065,184.2897,5.42311e-05,0.000391745
algal,30,2.34219,181.8527,3.23774e-05,0.00020146
algal,30,2.40539,179.4478,1.92123e-05,9.17173e-05
algal,30,2.47029,177.0748,1.13356e-05,3.01801e-05
algal,30,2.53694,174.7331,6.65288e-06,-2.91426e-06
algal,30,2.6054,172.4224,3.88552e-06,-1.95093e-05
algal,30,2.6757,170.1423,2.25905e-06,-2.67399e-05
algal,30,2.74789,167.8923,1.30797e-06,-2.88147e-05
algal,30,2.82204,165.6721,7.54433e-07,-2.8181e-05
algal,30,2.89818,163.4812,4.33651e-07,-2.62363e-05
algal,30,2.97638,161.3193,2.48484e-07,-2.37603e-05
algal,30,3.05669,159.1860,1.41982e-07,-2.11732e-05
algal,30,3.13917,157.0809,8.09238e-08,-1.86893e-05
algal,30,3.22387,155.0036,4.60211e-08,-1.64072e-05
algal,30,3.31086,152.9538,2.61214e-08,-1.43622e-05
algal,30,3.40019,150.9312,1.48018e-08,-1.25564e-05
algal,30,3.49194,148.9352,8.37572e-09,-1.09756e-05
algal,30,3.58616,146.9657,4.73404e-09,-9.59863e-06
algal,30,3.68292,145.0222,2.67331e-09,-8.40224e-06
algal,30,3.78229,143.1044,1.5086e-09,-7.36392e-06
algal,30,3.88435,141.2120,8.50957e-10,-6.46291e-06
algal,30,3.98916,139.3446,4.79889e-10,-5.68064e-06
algal,30,4.09679,137.5018,2.70623e-10,-5.00085e-06
algal,30,4.20734,135.6835,1.52639e-10,-4.40942e-06
algal,30,4.32086,133.8892,8.61245e-11,-3.89418e-06
algal,30,4.43745,132.1186,4.86216e-11,-3.44466e-06
algal,30,4.55718,130.3715,2.74694e-11,-3.05191e-06
algal,30,4.68014,128.6474,1.55332e-11,-2.70823e-06
algal,30,4.80642,126.9462,8.79297e-12,-2.40702e-06
algal,30,4.93611,125.2674,4.98356e-12,-2.14264e-06
algal,30,5.0693,123.6109,2.82839e-12,-1.91023e-06
algal,30,5.20608,121.9762,1.60766e-12,-1.70561e-06
algal,30,5.34655,120.3632,9.15308e-13,-1.52519e-06
algal,30,5.49082,118.7715,5.22052e-13,-1.36587e-06
algal,30,5.63897,117.2008,2.98324e-13,-1.22498e-06
algal,30,5.79112,115.6510,1.70821e-13,-1.1002e-06
algal,30,5.94738,114.1216,9.80224e-14,-9.89541e-07
algal,30,6.10785,112.6124,5.63749e-14,-8.91259e-07
algal,30,6.27266,111.1232,3.24989e-14,-8.03849e-07
algal,30,6.44191,109.6537,1.87809e-14,-7.26002e-07
algal,30,6.61573,108.2036,1.08811e-14,-6.56578e-07
algal,30,6.79423,106.7727,6.32081e-15,-5.94582e-07
algal,30,6.97756,105.3608,3.68176e-15,-5.39147e-07
algal,30,7.16583,103.9675,2.15058e-15,-4.89513e-07
algal,30,7.35918,102.5926,1.25982e-15,-4.45017e-07
algal,30,7.55775,101.2359,7.4019e-16,-4.05075e-07
algal,30,7.76167,99.8971,4.36206e-16,-3.69178e-07
algal,30,7.9711,98.5761,2.57858e-16,-3.36874e-07
algal,30,8.18618,97.2725,1.52911e-16,-3.0777e-07
algal,30,8.40706,95.9861,9.09682e-17,-2.81516e-07
algal,30,8.6339,94.7168,5.42948e-17,-2.57806e-07
algal,30,8.86687,93.4643,3.25137e-17,-2.36367e-07
algal,30,9.10612,92.2283,1.9536e-17,-2.1696e-07
algal,30,9.35182,91.0086,1.17783e-17,-1.99372e-07
algal,30,9.60415,89.8051,7.12577e-18,-1.83415e-07
algal,30,9.8633,88.6175,4.32609e-18,-1.68922e-07
algal,30,10.1294,87.4456,2.63567e-18,-1.55743e-07
algal,30,10.4027,86.2892,1.61151e-18,-1.43747e-07
algal,30,10.6834,85.1481,9.88863e-19,-1.32815e-07
algal,30,10.9717,84.0221,6.08992e-19,-1.22843e-07
algal,30,11.2677,82.9110,3.76419e-19,-1.13737e-07
algal,30,11.5718,81.8146,2.33522e-19,-1.05414e-07
algal,30,11.884,80.7327,1.45408e-19,-9.77974e-08
algal,30,12.2047,79.6650,9.08784e-20,-9.08215e-08
algal,30,12.534,78.6115,5.70105e-20,-8.44258e-08
algal,30,12.8722,77.5720,3.58986e-20,-7.85563e-08
algal,30,13.2195,76.5461,2.269e-20,-7.31646e-08
algal,30,13.5762,75.5339,1.43956e-20,-6.8207e-08
algal,30,13.9425,74.5350,9.16788e-21,-6.36444e-08
algal,30,14.3187,73.5494,5.86078e-21,-5.94413e-08
algal,30,14.7051,72.5767,3.76091e-21,-5.55661e-08
algal,30,15.1018,71.6170,2.42261e-21,-5.19898e-08
algal,30,15.5093,70.6699,1.56649e-21,-4.86864e-08
algal,30,15.9278,69.7353,1.01678e-21,-4.56326e-08
algal,30,16.3576,68.8132,6.62499e-22,-4.2807e-08
algal,30,16.7989,67.9032,4.33308e-22,-4.01903e-08
algal,30,17.2522,67.0052,2.84488e-22,-3.7765e-08
algal,30,17.7177,66.1191,1.87493e-22,-3.55153e-08
algal,30,18.1958,65.2447,1.24039e-22,-3.34268e-08
algal,30,18.6867,64.3819,8.23718e-23,-3.14863e-08
algal,30,19.1909,63.5305,5.49095e-23,-2.96819e-08
algal,30,19.7088,62.6904,3.67417e-23,-2.80028e-08
algal,30,20.2405,61.8614,2.46781e-23,-2.6439e-08
algal,30,20.7867,61.0433,1.66379e-23,-2.49815e-08
algal,30,21.3476,60.2361,1.12594e-23,-2.36221e-08
algal,30,21.9236,59.4395,7.64824e-24,-2.23532e-08
algal,30,22.5151,58.6535,5.21467e-24,-2.11679e-08
algal,30,23.1226,57.8778,3.56868e-24,-2.00599e-08
algal,30,23.7465,57.1124,2.4513e-24,-1.90234e-08
algal,30,24.3873,56.3572,1.69001e-24,-1.80531e-08
algal,30,25.0453,55.6119,1.16944e-24,-1.71442e-08
algal,30,25.7211,54.8765,8.12185e-25,-1.62922e-08
algal,30,26.4151,54.1508,5.66128e-25,-1.54929e-08
algal,30,27.1278,53.4347,3.96049e-25,-1.47427e-08
algal,30,27.8598,52.7281,2.78067e-25,-1.4038e-08
algal,30,28.6115,52.0308,1.95934e-25,-1.33756e-08
algal,30,29.3835,51.3427,1.38554e-25,-1.27527e-08
algal,30,30.1763,50.6638,9.8327e-26,-1.21664e-08
algal,30,30.9906,49.9938,7.0026e-26,-1.16143e-08
algal,30,31.8268,49.3326,5.00461e-26,-1.10941e-08
algal,30,32.6855,48.6803,3.5892e-26,-1.06036e-08
algal,30,33.5675,48.0365,2.58304e-26,-1.01409e-08
algal,30,34.4732,47.4013,1.86535e-26,-9.70404e-09
algal,30,35.4034,46.7744,1.3517e-26,-9.29144e-09
algal,30,36.3586,46.1559,9.82824e-27,-8.90149e-09
algal,30,37.3397,45.5455,7.17036e-27,-8.53274e-09
algal,30,38.3472,44.9432,5.24885e-27,-8.18385e-09
algal,30,39.3819,44.3489,3.8551e-27,-7.85355e-09
algal,30,40.4445,43.7624,2.84083e-27,-7.5407e-09
algal,30,41.5358,43.1837,2.10031e-27,-7.2442e-09
algal,30,42.6565,42.6126,1.5579e-27,-6.96305e-09
algal,30,43.8075,42.0491,1.15931e-27,-6.69632e-09
algal,30,44.9895,41.4930,8.65487e-28,-6.44313e-09
algal,30,46.2034,40.9443,6.48195e-28,-6.20268e-09
algal,30,47.4501,40.4029,4.86998e-28,-5.9742e-09
algal,30,48.7304,39.8686,3.6704e-28,-5.757e-09
algal,30,50.0453,39.3413,2.77493e-28,-5.55041e-09
algal,30,51.3956,38.8211,2.10444e-28,-5.35382e-09
algal,30,52.7824,38.3077,1.60085e-28,-5.16665e-09
algal,30,54.2066,37.8011,1.22149e-28,-4.98838e-09
algal,30,55.6692,37.3012,9.34837e-29,-4.8185e-09
algal,30,57.1713,36.8080,7.17601e-29,-4.65653e-09
algal,30,58.7139,36.3212,5.52483e-29,-4.50204e-09
algal,30,60.2981,35.8409,4.26612e-29,-4.35462e-09
algal,30,61.9251,35.3669,3.30379e-29,-4.21389e-09
algal,30,63.596,34.8992,2.56595e-29,-4.07947e-09
algal,30,65.3119,34.4377,1.99861e-29,-3.95104e-09
algal,30,67.0742,33.9823,1.56114e-29,-3.82826e-09
algal,30,68.884,33.5329,1.22287e-29,-3.71085e-09
algal,30,70.7427,33.0895,9.60566e-30,-3.59853e-09
algal,30,72.6515,32.6519,7.56617e-30,-3.49102e-09
algal,30,74.6118,32.2201,5.97605e-30,-3.38808e-09
algal,30,76.625,31.7940,4.73294e-30,-3.28948e-09
algal,30,78.6925,31.3736,3.7585e-30,-3.195e-09
algal,30,80.8158,30.9587,2.99265e-30,-3.10443e-09
algal,30,82.9964,30.5493,2.38915e-30,-3.01757e-09
algal,30,85.2358,30.1453,1.91234e-30,-2.93424e-09
algal,30,87.5357,29.7466,1.53465e-30,-2.85427e-09
algal,30,89.8976,29.3533,1.23472e-30,-2.7775e-09
algal,30,92.3233,28.9651,9.95936e-31,-2.70376e-09
algal,30,94.8143,28.5821,8.0535e-31,-2.63292e-09
algal,30,97.3727,28.2041,6.52859e-31,-2.56484e-09
algal,30,100,27.8311,5.30548e-31,-2.49938e-09
